"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","greene","hamilton","kings","lewis","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","ulster","warren","washington","westchester","wyoming","yates"
"1","Hamaspik Medicare Choice (HMO D-SNP)","H0034-002","340","408","440","","","86","","","","","","","","","","32","0","","","","","","115","","","","21","33","","","","0","","","","0","94","","12","22","","","","","","","","","0","","0","","","25","",""
"2","MetroPlus UltraCare (HMO D-SNP)","H0423-007","12","12","12","","","0","","","","","","","","","","","","","","","","","0","","","","","0","","","","","","","","","12","","0","","","","","","","","","","","","","","","","",""
"3","Empire MediBlue HealthPlus Dual Plus (HMO D-SNP)","H1732-001","151","169","169","","","32","","","","","","","","","","","","","","","","","47","","","","18","21","","","","0","","","","","36","","15","0","","","","","","","","0","","","","","","0","",""
"4","VillageCareMAX Medicare Total Advantage (HMO D-SNP)","H2168-002","2638","2638","2638","","","533","","","","","","","","","","","","","","","","","883","","","","0","396","","","","","","","","","826","","0","0","","","","","","","","0","","","","","","0","",""
"5","Elderplan Plus Long Term Care (HMO D-SNP)","H3347-007","2897","3084","3095","","","724","","","","","","","","","","0","","","","","","","1079","","","","121","412","","","","11","","","","0","609","","73","0","","","","","","","","0","","","","","","66","",""
"6","Healthfirst CompleteCare (HMO D-SNP)","H3359-034","21445","22218","22237","","","8091","","","","","","","","","","0","0","","","","","","4798","","","","433","5329","","","","19","","0","","","3048","","179","13","","0","","","","","","0","0","0","","","","327","",""
"7","AgeWell New York Advantage Plus (HMO D-SNP)","H4922-010","29","74","74","","","11","","","","","","","","","","","","","","","","","0","","","","45","0","","","","","","","","","18","","","","","","","","","","","","","","","","","0","",""
"8","VNSNY CHOICE Total (HMO D-SNP)","H5549-003","2817","2986","2986","","","793","","","","","","","","","","","","","","","","","677","","","","83","702","","","","","","","","","554","","91","","","","","","","","","58","","","","","","28","",""
"9","Wellcare Fidelis Dual Plus (HMO D-SNP)","H5599-003","415","428","428","","","110","","","","","","","","","","","","","","","","","125","","0","","0","57","","","","","","","","","100","","23","13","","","","","","","","0","","","","","","0","",""
"10","Wellcare Fidelis Dual Plus (HMO D-SNP)","H5599-008","0","0","125","30","0","","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","","0","","12","","","0","0","16","0","0","0","0","0","","12","","","0","30","0","0","0","11","0","","0","0","0","0","0","","0","0"
"11","Senior Whole Health of New York NHC (HMO D-SNP)","H5992-007","139","139","139","","","40","","","","","","","","","","","","","","","","","35","","","","0","24","","","","","","","","","40","","0","","","","","","","","","","","","","","","0","",""
"12","RiverSpring MAP (HMO D-SNP)","H6776-002","104","104","104","","","24","","","","","","","","","","","","","","","","","38","","","","0","29","","","","","","","","","13","","0","0","","","","","","","","0","","","","","","0","",""
"13","Centers Plan for Medicaid Advantage Plus (HMO D-SNP)","H6988-004","1176","1251","1251","","","303","","","","","","","","","","","","","","","","","445","","","","75","75","","","","","","","","","279","","74","0","","","","","","","","","","","","","","0","",""
