"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","bronx","dutchess","erie","kings","montgomery","nassau","new_york","oneida","orange","putnam","queens","rensselaer","richmond","rockland","schenectady","suffolk","sullivan","ulster","westchester"
"1","Hamaspik Medicare Choice (HMO D-SNP)","H0034-002","0","0","0","","0","0","","0","","0","0","","0","0","0","","0","0","","","0","0","0"
"2","MetroPlus UltraCare (HMO D-SNP)","H0423-007","0","0","0","","0","","","0","","","0","","","","0","","0","","","","","",""
"3","Empire MediBlue HealthPlus Dual Plus (HMO D-SNP)","H1732-001","0","0","0","","0","","","0","","0","0","","0","","0","","0","0","","0","","","0"
"4","VillageCareMAX Medicare Total Advantage (HMO D-SNP)","H2168-002","2725","2725","2725","","619","","","853","","0","422","0","0","","831","","0","","","","","","0"
"5","Elderplan Plus Long Term Care (HMO D-SNP)","H3347-007","2258","2438","2438","","496","0","","909","","114","294","","0","0","508","","51","0","","","","","66"
"6","Healthfirst CompleteCare (HMO D-SNP)","H3359-034","16385","16880","16880","","6263","0","0","3595","","288","4070","","0","","2327","","130","0","","0","0","","207"
"7","AgeWell New York Advantage Plus (HMO D-SNP)","H4922-010","11","27","27","","0","","","0","","16","0","","","","11","","","","","","","","0"
"8","VNSNY CHOICE Total (HMO D-SNP)","H5549-003","2812","2941","2941","","746","0","","647","","66","755","","","","567","","97","","","37","","","26"
"9","Fidelis Medicaid Advantage Plus (HMO D-SNP)","H5599-003","16","16","16","","0","","","16","","0","0","","","","0","","0","","","0","","","0"
"10","Fidelis Medicaid Advantage Plus (HMO D-SNP)","H5599-008","0","0","16","16","","","","","0","","","","","","","0","","","0","","","",""
"11","Senior Whole Health of New York NHC (HMO D-SNP)","H5992-007","113","113","113","","39","","","34","","0","18","","","","22","","0","","","","","","0"
"12","RiverSpring MAP (HMO D-SNP)","H6776-002","41","41","41","","15","","","11","","0","15","","","","0","","0","0","","","","","0"
"13","Centers Plan for Medicaid Advantage Plus (HMO D-SNP)","H6988-004","366","378","378","","97","","","140","","12","29","","","","82","","18","0","","","","",""
