"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","greene","hamilton","kings","lewis","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","ulster","warren","washington","westchester","wyoming","yates"
"1","Hamaspik Medicare Choice (HMO D-SNP)","H0034-002","404","480","514","","","100","","","","","","","","","","34","0","","","","","","129","","","","28","33","","","","0","","","","0","127","","15","22","","","","","","","","","0","","0","","","26","",""
"2","MetroPlus UltraCare (HMO D-SNP)","H0423-007","25","25","25","","","0","","","","","","","","","","","","","","","","","13","","","","","0","","","","","","","","","12","","0","","","","","","","","","","","","","","","","",""
"3","Empire MediBlue HealthPlus Dual Plus (HMO D-SNP)","H1732-001","169","188","188","","","34","","","","","","","","","","","","","","","","","55","","","","19","23","","","","0","","","","","42","","15","0","","","","","","","","0","","","","","","0","",""
"4","VillageCareMAX Medicare Total Advantage (HMO D-SNP)","H2168-002","2577","2577","2577","","","519","","","","","","","","","","","","","","","","","865","","","","0","387","","","","","","","","","806","","0","0","","","","","","","","0","","","0","","","0","",""
"5","Elderplan Plus Long Term Care (HMO D-SNP)","H3347-007","2919","3105","3116","","","740","","","","","","","","","","0","","","","","","","1082","","","","120","417","","","","11","","","","0","609","","71","0","","","","","","","","0","","","","","","66","",""
"6","Healthfirst CompleteCare (HMO D-SNP)","H3359-034","21721","22544","22564","","","8175","","","","","","","","","","0","0","","","","","","4872","","","","455","5397","","","","20","","","","","3081","","196","13","","0","","","","","","11","0","","","","","344","",""
"7","AgeWell New York Advantage Plus (HMO D-SNP)","H4922-010","33","77","77","","","14","","","","","","","","","","","","","","","","","0","","","","44","0","","","","","","","","","19","","","","","","","","","","","","","","","","","0","",""
"8","VNSNY CHOICE Total (HMO D-SNP)","H5549-003","2784","2954","2954","","","782","","","","","","","","","","","","","","","","","670","","","","85","694","","","","","","","","","546","","92","","","","","","","","","57","","","","","","28","",""
"9","Wellcare Fidelis Dual Plus (HMO D-SNP)","H5599-003","409","422","422","","","105","","","","","","","","","","0","","","","","","","118","","0","","0","64","","","","","","","","","103","","19","13","","","","","","","","0","","","","","","0","",""
"10","Wellcare Fidelis Dual Plus (HMO D-SNP)","H5599-008","0","0","101","29","0","","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","","0","","12","","","0","0","16","0","0","0","0","0","","0","","","0","28","0","0","0","0","0","","0","0","0","0","0","","0","0"
"11","Senior Whole Health of New York NHC (HMO D-SNP)","H5992-007","132","132","132","","","38","","","","","","","","","","","","","","","","","36","","","","0","22","","","","","","","","","36","","0","","","","","","","","","","","","","","","0","",""
"12","RiverSpring MAP (HMO D-SNP)","H6776-002","122","122","122","","","27","","","","","","","","","","","","","","","","","39","","","","0","30","","","","","","","","","12","","14","0","","","","","","","","0","","","","","","0","",""
"13","Centers Plan for Medicaid Advantage Plus (HMO D-SNP)","H6988-004","1152","1229","1229","","","293","","","","","","","","","","","","","","","","","442","","","","77","69","","","","","","","","","276","","72","0","","","","","","","","","","","","","","0","",""
