"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","greene","hamilton","kings","lewis","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","ulster","warren","washington","westchester","wyoming","yates"
"1","Hamaspik Medicare Choice (HMO D-SNP)","H0034-002","423","504","539","","","109","","","","","","","","","","35","0","","","","","","136","","","","28","32","","","","0","","","","0","132","","14","22","","","","","","","","","0","","0","","","31","",""
"2","MetroPlus UltraCare (HMO D-SNP)","H0423-007","26","26","26","","","0","","","","","","","","","","","","","","","","","14","","","","","0","","","","","","","","","12","","0","","","","","","","","","","","","","","","","",""
"3","Empire MediBlue HealthPlus Dual Plus (HMO D-SNP)","H1732-001","159","176","176","","","34","","","","","","","","","","","","","","","","","52","","","","17","21","","","","0","","","","","37","","15","0","","","","","","","","0","","","","","","0","",""
"4","VillageCareMAX Medicare Total Advantage (HMO D-SNP)","H2168-002","2529","2529","2529","","","508","","","","","","","","","","","","","","","","","841","","","","0","383","","","","","","","","","797","","0","0","","","","","","","","0","","","","","","0","",""
"5","Elderplan Plus Long Term Care (HMO D-SNP)","H3347-007","2895","3080","3091","","","738","","","","","","","","","","0","","","","","","","1074","","","","118","412","","","","11","","","","0","603","","68","0","","","","","","","","0","","","","","","67","",""
"6","Healthfirst CompleteCare (HMO D-SNP)","H3359-034","21907","22732","22749","","","8258","","","","","","","","","","0","0","","","","","","4903","","","","456","5433","","","","17","","","","","3111","","202","12","","0","","","","","","11","0","","","","","346","",""
"7","AgeWell New York Advantage Plus (HMO D-SNP)","H4922-010","35","84","84","","","15","","","","","","","","","","","","","","","","","0","","","","49","0","","","","","","","","","20","","","","","","","","","","","0","","","","","","0","",""
"8","VNS Health Total (HMO D-SNP)","H5549-003","2886","3075","3075","0","","807","","","","","","","","","","","","","","","","","702","","","","90","718","","","","","","","","","560","0","99","","","0","","","","","","61","","","","","","38","",""
"9","Wellcare Fidelis Dual Plus (HMO D-SNP)","H5599-003","396","410","410","","","103","","","","","","","","","","0","","","","","","","114","","0","","0","63","","","","","","","","","97","","19","14","","","","","","","","0","","","","","","0","",""
"10","Wellcare Fidelis Dual Plus (HMO D-SNP)","H5599-008","0","0","93","27","0","","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","","0","","12","","","0","0","17","0","0","0","0","0","","0","","","0","24","0","0","0","0","0","","0","0","0","0","0","","0","0"
"11","Senior Whole Health of New York NHC (HMO D-SNP)","H5992-007","136","136","136","","","40","","","","","","","","","","","","","","","","","36","","","","0","24","","","","0","","","","","36","","0","0","","","","","","","","","","","","","","0","",""
"12","RiverSpring MAP (HMO D-SNP)","H6776-002","130","130","130","","","25","","","","","","","","","","","","","","","","","47","","","","0","33","","","","","","","","","11","","14","0","","","","","","","","0","","","","","","0","",""
"13","Centers Plan for Medicaid Advantage Plus (HMO D-SNP)","H6988-004","1186","1264","1264","","","292","","","","","","","","","","","0","","","","","","468","","","","78","70","0","","","","","","","","282","","74","0","","","","","","","","0","","","","","","0","",""
