"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","bronx","dutchess","erie","kings","montgomery","nassau","new_york","orange","putnam","queens","rensselaer","richmond","rockland","schenectady","suffolk","sullivan","ulster","westchester"
"1","Hamaspik Medicare Choice (HMO D-SNP)","H0034-002","47","61","87","","22","26","","25","","0","0","0","0","0","","0","14","","","0","0","0"
"2","MetroPlus UltraCare (HMO D-SNP)","H0423-007","0","0","0","","0","","","0","","","0","","","0","","0","","","","","",""
"3","Empire MediBlue HealthPlus Dual Plus (HMO D-SNP)","H1732-001","93","93","93","","29","","","28","","0","16","0","","20","","0","0","","0","","","0"
"4","VillageCareMAX Medicare Total Advantage (HMO D-SNP)","H2168-002","2894","2894","2894","","599","","","960","","0","432","0","","903","","0","","","","","","0"
"5","Elderplan Plus Long Term Care (HMO D-SNP)","H3347-007","2572","2767","2767","","634","0","","973","","120","356","0","0","554","","55","0","","0","","","75"
"6","Healthfirst CompleteCare (HMO D-SNP)","H3359-034","18555","19165","19178","","7059","0","0","4098","","359","4587","13","","2656","","155","0","","0","0","","251"
"7","AgeWell New York Advantage Plus (HMO D-SNP)","H4922-010","12","39","39","","0","","","0","","27","0","","","12","","","","","","","","0"
"8","VNSNY CHOICE Total (HMO D-SNP)","H5549-003","2897","3049","3049","","782","0","","677","","74","742","","","594","","102","","","53","","","25"
"9","Fidelis Medicaid Advantage Plus (HMO D-SNP)","H5599-003","118","118","118","","23","","","48","","0","18","","","29","","0","","","0","","","0"
"10","Fidelis Medicaid Advantage Plus (HMO D-SNP)","H5599-008","0","0","15","15","","","","","0","","","","","","0","","","0","","","",""
"11","Senior Whole Health of New York NHC (HMO D-SNP)","H5992-007","110","110","110","","38","","","31","","0","17","","","24","","0","","","","","","0"
"12","RiverSpring MAP (HMO D-SNP)","H6776-002","55","55","55","","18","","","18","","0","19","","","0","","0","0","","0","","","0"
"13","Centers Plan for Medicaid Advantage Plus (HMO D-SNP)","H6988-004","595","633","633","","160","","","216","","38","41","","","140","","38","0","","","","",""
