"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","greene","hamilton","kings","lewis","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","ulster","warren","washington","westchester","wyoming","yates"
"1","Hamaspik Medicare Choice (HMO D-SNP)","H0034-002","92","110","137","","","31","","","","","","","","","","27","","","","","","","28","","","","0","12","","","","0","","","","0","21","","0","0","","","","","","","","","0","","0","","","18","",""
"2","MetroPlus UltraCare (HMO D-SNP)","H0423-007","0","0","0","","","0","","","","","","","","","","","","","","","","","0","","","","","0","","","","","","","","","0","","0","","","","","","","","","","","","","","","","",""
"3","Empire MediBlue HealthPlus Dual Plus (HMO D-SNP)","H1732-001","150","166","166","","","45","","","","","","","","","","","","","","","","","43","","","","16","18","","","","0","","","","","32","","12","0","","","","","","","","0","","","","","","0","",""
"4","VillageCareMAX Medicare Total Advantage (HMO D-SNP)","H2168-002","2774","2774","2774","","","557","","","","","","","","","","","","","","","","","922","","","","0","417","","","","0","","","","","878","","0","","","","","","","","","","","","","","","0","",""
"5","Elderplan Plus Long Term Care (HMO D-SNP)","H3347-007","2592","2783","2783","","","655","","","","","","","","","","0","","","","","","","980","","","","117","361","","","","0","","","","0","540","","56","0","","","","","","","","0","","","","","","74","",""
"6","Healthfirst CompleteCare (HMO D-SNP)","H3359-034","19452","20102","20121","","","7383","","","","","","","","","","0","0","","","","","","4313","","","","378","4804","","","","19","","","","","2795","","157","0","","","","","","","","0","0","","","","","272","",""
"7","AgeWell New York Advantage Plus (HMO D-SNP)","H4922-010","12","44","44","","","0","","","","","","","","","","","","","","","","","0","","","","32","0","","","","","","","","","12","","","","","","","","","","","","","","","","","0","",""
"8","VNSNY CHOICE Total (HMO D-SNP)","H5549-003","2797","2948","2948","","","761","","","","","","","","","","","","","","","","","660","","","","75","708","","","","","","","","","568","","100","","","","","","","","","51","","","","","","25","",""
"9","Wellcare Fidelis Dual Plus (HMO D-SNP)","H5599-003","160","160","160","","","35","","","","","","","","","","","","","","","","","54","","0","","0","28","","","","","","","","","43","","0","0","","","","","","","","0","","","","","","0","",""
"10","Wellcare Fidelis Dual Plus (HMO D-SNP)","H5599-008","0","0","15","15","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","","0","0","0","0","0","0","0","0","","0","","","0","0","0","0","0","0","0","","0","0","0","0","0","","0","0"
"11","Senior Whole Health of New York NHC (HMO D-SNP)","H5992-007","100","100","100","","","34","","","","","","","","","","","","","","","","","29","","","","0","16","","","","","","","","","21","","0","","","","","","","","","","","","","","","0","",""
"12","RiverSpring MAP (HMO D-SNP)","H6776-002","58","58","58","","","18","","","","","","","","","","","","","","","","","22","","","","0","18","","","","","","","","","0","","0","0","","","","","","","","0","","","","","","0","",""
"13","Centers Plan for Medicaid Advantage Plus (HMO D-SNP)","H6988-004","865","920","920","","","230","","","","","","","","","","","","","","","","","314","","","","55","53","","","","","","","","","216","","52","0","","","","","","","","","","","","","","0","",""
