"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","greene","hamilton","kings","lewis","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","ulster","warren","washington","westchester","wyoming","yates"
"1","Hamaspik Medicare Choice (HMO D-SNP)","H0034-002","257","301","333","","","74","","","","","","","","","","32","","","","","","","81","","","","14","22","","","","0","","","","0","80","","0","11","","","","","","","","","0","","0","","","19","",""
"2","MetroPlus UltraCare (HMO D-SNP)","H0423-007","0","0","0","","","0","","","","","","","","","","","","","","","","","0","","","","","0","","","","","","","","","0","","0","","","","","","","","","","","","","","","","",""
"3","Empire MediBlue HealthPlus Dual Plus (HMO D-SNP)","H1732-001","159","177","177","","","36","","","","","","","","","","","","","","","","","46","","","","18","25","","","","0","","","","","36","","16","0","","","","","","","","0","","","","","","0","",""
"4","VillageCareMAX Medicare Total Advantage (HMO D-SNP)","H2168-002","2678","2678","2678","","","542","","","","","","","","","","","","","","","","","891","","","","0","402","","","","","","","","","843","","0","0","","","","","","","","0","","","","","","0","",""
"5","Elderplan Plus Long Term Care (HMO D-SNP)","H3347-007","2831","3017","3017","","","709","","","","","","","","","","0","","","","","","","1080","","","","118","396","","","","0","","","","0","580","","66","0","","","","","","","","0","","","","","","68","",""
"6","Healthfirst CompleteCare (HMO D-SNP)","H3359-034","21311","22045","22067","0","","8072","","","","","","","","","","0","0","","","","","","4767","","","","426","5293","","","","22","","","","","3001","","178","0","","","","","","","","0","0","","","","","308","",""
"7","AgeWell New York Advantage Plus (HMO D-SNP)","H4922-010","15","53","53","","","0","","","","","","","","","","","","","","","","","0","","","","38","0","","","","","","","","","15","","","","","","","","","","","","","","","","","0","",""
"8","VNSNY CHOICE Total (HMO D-SNP)","H5549-003","2824","2986","2986","","","791","","","","","","","","","","","","","","","","","669","","","","79","717","","","","","","","","","556","","91","","","","","","","","","55","","","","","","28","",""
"9","Wellcare Fidelis Dual Plus (HMO D-SNP)","H5599-003","349","349","349","","","92","","","","","","","","","","","","","","","","","105","","0","","0","49","","","","","","","","","83","","20","0","","","","","","","","0","","","","","","0","",""
"10","Wellcare Fidelis Dual Plus (HMO D-SNP)","H5599-008","0","0","70","29","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","11","","","0","0","0","0","0","0","0","0","","0","","","0","30","0","0","0","0","0","","0","0","0","0","0","","0","0"
"11","Senior Whole Health of New York NHC (HMO D-SNP)","H5992-007","128","128","128","","","38","","","","","","","","","","","","","","","","","37","","","","0","21","","","","","","","","","32","","0","","","","","","","","","","","","","","","0","",""
"12","RiverSpring MAP (HMO D-SNP)","H6776-002","93","93","93","","","22","","","","","","","","","","","","","","","","","31","","","","0","28","","","","","","","","","12","","0","0","","","","","","","","0","","","","","","0","",""
"13","Centers Plan for Medicaid Advantage Plus (HMO D-SNP)","H6988-004","1126","1192","1192","","","298","","","","","","","","","","","","","","","","","424","","","","66","72","","","","","","","","","264","","68","0","","","","","","","","","","","","","","0","",""
