"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","bronx","dutchess","erie","kings","montgomery","nassau","new_york","oneida","orange","putnam","queens","rensselaer","richmond","rockland","schenectady","suffolk","sullivan","ulster","westchester"
"1","Hamaspik Medicare Choice (HMO D-SNP)","H0034-002","0","0","0","","0","0","","0","","0","0","","0","0","0","","0","0","","","0","0","0"
"2","MetroPlus UltraCare (HMO D-SNP)","H0423-007","0","0","0","","0","","","0","","","0","","","","0","","0","","","","","",""
"3","Empire MediBlue HealthPlus Dual Plus (HMO D-SNP)","H1732-001","37","37","37","","12","","","14","","0","0","","0","","11","","0","0","","0","","","0"
"4","VillageCareMAX Medicare Total Advantage (HMO D-SNP)","H2168-002","2835","2835","2835","","621","","","903","","0","432","0","0","","879","","0","","","","","","0"
"5","Elderplan Plus Long Term Care (HMO D-SNP)","H3347-007","2404","2588","2588","","565","0","","947","","117","317","","0","0","521","","54","0","","","","","67"
"6","Healthfirst CompleteCare (HMO D-SNP)","H3359-034","16899","17415","17415","","6454","0","0","3715","","299","4176","","0","","2416","","138","0","","0","0","","217"
"7","AgeWell New York Advantage Plus (HMO D-SNP)","H4922-010","12","31","31","","0","","","0","","19","0","","","","12","","","","","","","","0"
"8","VNSNY CHOICE Total (HMO D-SNP)","H5549-003","2810","2948","2948","","747","0","","652","","72","748","","","","565","","98","","","38","","","28"
"9","Fidelis Medicaid Advantage Plus (HMO D-SNP)","H5599-003","31","31","31","","0","","","19","","0","0","","","","12","","0","","","0","","","0"
"10","Fidelis Medicaid Advantage Plus (HMO D-SNP)","H5599-008","0","0","16","16","","","","","0","","","","","","","0","","","0","","","",""
"11","Senior Whole Health of New York NHC (HMO D-SNP)","H5992-007","112","112","112","","40","","","34","","0","17","","","","21","","0","","","","","","0"
"12","RiverSpring MAP (HMO D-SNP)","H6776-002","43","43","43","","15","","","15","","0","13","","","","0","","0","0","","","","","0"
"13","Centers Plan for Medicaid Advantage Plus (HMO D-SNP)","H6988-004","431","443","443","","114","","","159","","12","36","","","","101","","21","0","","","","",""
