"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","greene","hamilton","kings","lewis","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","ulster","warren","washington","westchester","wyoming","yates"
"1","Hamaspik Medicare Choice (HMO D-SNP)","H0034-002","232","262","292","","","69","","","","","","","","","","30","","","","","","","74","","","","13","18","","","","0","","","","0","71","","0","0","","","","","","","","","0","","0","","","17","",""
"2","MetroPlus UltraCare (HMO D-SNP)","H0423-007","0","0","0","","","0","","","","","","","","","","","","","","","","","0","","","","","0","","","","","","","","","0","","0","","","","","","","","","","","","","","","","",""
"3","Empire MediBlue HealthPlus Dual Plus (HMO D-SNP)","H1732-001","157","174","174","","","38","","","","","","","","","","","","","","","","","45","","","","17","25","","","","0","","","","","34","","15","0","","","","","","","","0","","","","","","0","",""
"4","VillageCareMAX Medicare Total Advantage (HMO D-SNP)","H2168-002","2730","2730","2730","","","549","","","","","","","","","","","","","","","","","911","","","","0","408","","","","","","","","","862","","0","","","","","","","","","0","","","","","","0","",""
"5","Elderplan Plus Long Term Care (HMO D-SNP)","H3347-007","2796","2982","2982","","","703","","","","","","","","","","0","","","","","","","1057","","","","119","395","","","","0","","","","0","576","","65","0","","","","","","","","0","","","","","","67","",""
"6","Healthfirst CompleteCare (HMO D-SNP)","H3359-034","21157","21882","21905","0","","8012","","","","","","","","","","0","0","","","","","","4713","","","","419","5262","","","","23","","","","","2989","","181","0","","","","","","","","0","0","","","","","306","",""
"7","AgeWell New York Advantage Plus (HMO D-SNP)","H4922-010","14","47","47","","","0","","","","","","","","","","","","","","","","","0","","","","33","0","","","","","","","","","14","","","","","","","","","","","","","","","","","0","",""
"8","VNSNY CHOICE Total (HMO D-SNP)","H5549-003","2796","2953","2953","","","768","","","","","","","","","","","","","","","","","661","","","","75","711","","","","","","","","","559","","97","","","","","","","","","56","","","","","","26","",""
"9","Wellcare Fidelis Dual Plus (HMO D-SNP)","H5599-003","325","325","325","","","88","","","","","","","","","","","","","","","","","105","","0","","0","45","","","","","","","","","69","","18","0","","","","","","","","0","","","","","","0","",""
"10","Wellcare Fidelis Dual Plus (HMO D-SNP)","H5599-008","0","0","52","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","","0","0","0","0","0","0","0","0","","0","","","0","26","0","0","0","0","0","","0","0","0","0","0","","0","0"
"11","Senior Whole Health of New York NHC (HMO D-SNP)","H5992-007","123","123","123","","","38","","","","","","","","","","","","","","","","","38","","","","0","21","","","","","","","","","26","","0","","","","","","","","","","","","","","","0","",""
"12","RiverSpring MAP (HMO D-SNP)","H6776-002","80","80","80","","","23","","","","","","","","","","","","","","","","","23","","","","0","22","","","","","","","","","12","","0","0","","","","","","","","0","","","","","","0","",""
"13","Centers Plan for Medicaid Advantage Plus (HMO D-SNP)","H6988-004","1107","1173","1173","","","296","","","","","","","","","","","","","","","","","422","","","","66","70","","","","","","","","","254","","65","0","","","","","","","","","","","","","","0","",""
