"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","greene","hamilton","kings","lewis","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","ulster","warren","washington","westchester","wyoming","yates"
"1","Hamaspik Medicare Choice (HMO D-SNP)","H0034-002","379","452","485","","","96","","","","","","","","","","33","0","","","","","","122","","","","26","33","","","","0","","","","0","112","","16","22","","","","","","","","","0","","0","","","25","",""
"2","MetroPlus UltraCare (HMO D-SNP)","H0423-007","13","13","13","","","0","","","","","","","","","","","","","","","","","0","","","","","0","","","","","","","","","13","","0","","","","","","","","","","","","","","","","",""
"3","Empire MediBlue HealthPlus Dual Plus (HMO D-SNP)","H1732-001","156","174","174","","","33","","","","","","","","","","","","","","","","","51","","","","18","21","","","","0","","","","","37","","14","0","","","","","","","","0","","","","","","0","",""
"4","VillageCareMAX Medicare Total Advantage (HMO D-SNP)","H2168-002","2616","2616","2616","","","525","","","","","","","","","","","","","","","","","878","","","","0","394","","","","","","","","","819","","0","0","","","","","","","","0","","","","","","0","",""
"5","Elderplan Plus Long Term Care (HMO D-SNP)","H3347-007","2906","3090","3101","","","732","","","","","","","","","","0","","","","","","","1075","","","","118","419","","","","11","","","","0","609","","71","0","","","","","","","","0","0","","","","","66","",""
"6","Healthfirst CompleteCare (HMO D-SNP)","H3359-034","21585","22380","22400","","","8137","","","","","","","","","","0","0","","","","","","4845","","","","436","5363","0","","","20","","0","","","3057","","183","13","","0","","","","","","11","0","","","","","335","",""
"7","AgeWell New York Advantage Plus (HMO D-SNP)","H4922-010","30","74","74","","","11","","","","","","","","","","","","","","","","","0","","","","44","0","","","","","","","","","19","","","","","","","","","","","","","","","","","0","",""
"8","VNSNY CHOICE Total (HMO D-SNP)","H5549-003","2823","2994","2994","","","792","","","","","","","","","","","","","","","","","679","","","","85","703","","","","","","","","","556","","93","","","","","","","","","57","","","","","","29","",""
"9","Wellcare Fidelis Dual Plus (HMO D-SNP)","H5599-003","419","432","432","","","110","","","","","","","","","","0","","","","","","","125","","0","","0","63","","","","","","","","","102","","19","13","","","","","","","","0","","","","","","0","",""
"10","Wellcare Fidelis Dual Plus (HMO D-SNP)","H5599-008","0","0","115","29","0","","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","","0","","14","","","0","0","16","0","0","0","0","0","","0","","","0","29","0","0","0","11","0","","0","0","0","0","0","","0","0"
"11","Senior Whole Health of New York NHC (HMO D-SNP)","H5992-007","136","136","136","","","38","","","","","","","","","","","","","","","","","37","","","","0","24","","","","","","","","","37","","0","","","","","","","","","","","","","","","0","",""
"12","RiverSpring MAP (HMO D-SNP)","H6776-002","112","112","112","","","25","","","","","","","","","","","","","","","","","36","","","","0","27","","","","","","","","","12","","12","0","","","","","","","","0","","","","","","0","",""
"13","Centers Plan for Medicaid Advantage Plus (HMO D-SNP)","H6988-004","1181","1257","1257","","","303","","","","","","","","","","","","","","","","","450","","","","76","72","","","","","","","","","282","","74","0","","","","","","","","","","","","","","0","",""
