"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","greene","hamilton","kings","lewis","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","ulster","warren","washington","westchester","wyoming","yates"
"1","Hamaspik Medicare Choice (HMO D-SNP)","H0034-002","173","190","221","","","56","","","","","","","","","","31","","","","","","","54","","","","0","13","","","","0","","","","0","50","","0","0","","","","","","","","","0","","0","","","17","",""
"2","MetroPlus UltraCare (HMO D-SNP)","H0423-007","0","0","0","","","0","","","","","","","","","","","","","","","","","0","","","","","0","","","","","","","","","0","","0","","","","","","","","","","","","","","","","",""
"3","Empire MediBlue HealthPlus Dual Plus (HMO D-SNP)","H1732-001","159","174","174","","","41","","","","","","","","","","","","","","","","","44","","","","15","24","","","","0","","","","","33","","17","0","","","","","","","","0","","","","","","0","",""
"4","VillageCareMAX Medicare Total Advantage (HMO D-SNP)","H2168-002","2705","2705","2705","","","539","","","","","","","","","","","","","","","","","903","","","","0","408","","","","0","","","","","855","","0","","","","","","","","","0","","","","","","0","",""
"5","Elderplan Plus Long Term Care (HMO D-SNP)","H3347-007","2715","2904","2904","","","677","","","","","","","","","","0","","","","","","","1030","","","","118","391","","","","0","","","","0","564","","53","0","","","","","","","","0","","","","","","71","",""
"6","Healthfirst CompleteCare (HMO D-SNP)","H3359-034","20292","20990","21014","","","7695","","","","","","","","","","0","0","","","","","","4488","","","","405","5044","","","","24","","","","","2901","","164","0","","","","","","","","0","0","","","","","293","",""
"7","AgeWell New York Advantage Plus (HMO D-SNP)","H4922-010","13","46","46","","","0","","","","","","","","","","","","","","","","","0","","","","33","0","","","","","","","","","13","","","","","","","","","","","","","","","","","0","",""
"8","VNSNY CHOICE Total (HMO D-SNP)","H5549-003","2789","2944","2944","","","769","","","","","","","","","","","","","","","","","652","","","","77","702","","","","","","","","","565","","101","","","","","","","","","53","","","","","","25","",""
"9","Wellcare Fidelis Dual Plus (HMO D-SNP)","H5599-003","186","186","186","","","43","","","","","","","","","","","","","","","","","62","","0","","0","34","","","","","","","","","47","","0","0","","","","","","","","0","","","","","","0","",""
"10","Wellcare Fidelis Dual Plus (HMO D-SNP)","H5599-008","0","0","29","16","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","","0","0","0","0","0","0","0","0","","0","","","0","13","0","0","0","0","0","","0","0","0","0","0","","0","0"
"11","Senior Whole Health of New York NHC (HMO D-SNP)","H5992-007","109","109","109","","","34","","","","","","","","","","","","","","","","","31","","","","0","20","","","","","","","","","24","","0","","","","","","","","","","","","","","","0","",""
"12","RiverSpring MAP (HMO D-SNP)","H6776-002","72","72","72","","","19","","","","","","","","","","","","","","","","","21","","","","0","20","","","","","","","","","12","","0","0","","","","","","","","","","","","","","0","",""
"13","Centers Plan for Medicaid Advantage Plus (HMO D-SNP)","H6988-004","1040","1099","1099","","","275","","","","","","","","","","","","","","","","","404","","","","59","60","","","","","","","","","239","","62","0","","","","","","","","","","","","","","0","",""
