"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","greene","hamilton","kings","lewis","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","ulster","warren","washington","westchester","wyoming","yates"
"1","Hamaspik Medicare Choice (HMO D-SNP)","H0034-002","289","342","374","","","80","","","","","","","","","","32","","","","","","","93","","","","19","29","","","","0","","","","0","87","","0","12","","","","","","","","","0","","0","","","22","",""
"2","MetroPlus UltraCare (HMO D-SNP)","H0423-007","0","0","0","","","0","","","","","","","","","","","","","","","","","0","","","","","0","","","","","","","","","0","","0","","","","","","","","","","","","","","","","",""
"3","Empire MediBlue HealthPlus Dual Plus (HMO D-SNP)","H1732-001","149","168","168","","","34","","","","","","","","","","","","","","","","","43","","","","19","24","","","","0","","","","","33","","15","0","","","","","","","","0","","","","","","0","",""
"4","VillageCareMAX Medicare Total Advantage (HMO D-SNP)","H2168-002","2658","2658","2658","","","543","","","","","","","","","","","","","","","","","884","","","","0","398","","","","","","","","","833","","0","0","","","","","","","","0","","","","","","0","",""
"5","Elderplan Plus Long Term Care (HMO D-SNP)","H3347-007","2859","3042","3042","","","724","","","","","","","","","","0","","","","","","","1083","","","","116","404","","","","0","","","","0","579","","69","0","","","","","","","","0","","","","","","67","",""
"6","Healthfirst CompleteCare (HMO D-SNP)","H3359-034","21370","22138","22159","","","8068","","","","","","","","","","0","0","","","","","","4793","","","","440","5316","","","","21","","0","","0","3015","","178","11","","","","","","","","0","0","","","","","317","",""
"7","AgeWell New York Advantage Plus (HMO D-SNP)","H4922-010","17","56","56","","","0","","","","","","","","","","","","","","","","","0","","","","39","0","","","","","","","","","17","","","","","","","","","","","","","","","","","0","",""
"8","VNSNY CHOICE Total (HMO D-SNP)","H5549-003","2823","2988","2988","","","787","","","","","","","","","","","","","","","","","672","","","","81","718","","","","","","","","","553","","93","","","","","","","","","57","","","","","","27","",""
"9","Wellcare Fidelis Dual Plus (HMO D-SNP)","H5599-003","393","408","408","","","107","","","","","","","","","","","","","","","","","117","","0","","0","56","","","","","","","","","91","","22","15","","","","","","","","0","","","","","","0","",""
"10","Wellcare Fidelis Dual Plus (HMO D-SNP)","H5599-008","0","0","111","29","0","","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","","0","","11","","","0","0","14","0","0","0","0","0","","0","","","0","31","0","0","0","11","0","","0","0","0","0","0","","0","0"
"11","Senior Whole Health of New York NHC (HMO D-SNP)","H5992-007","145","145","145","","","40","","","","","","","","","","","","","","","","","39","","","","0","26","","","","","","","","","40","","0","","","","","","","","","","","","","","","0","",""
"12","RiverSpring MAP (HMO D-SNP)","H6776-002","99","99","99","","","23","","","","","","","","","","","","","","","","","35","","","","0","29","","","","","","","","","12","","0","0","","","","","","","","0","","","","","","0","",""
"13","Centers Plan for Medicaid Advantage Plus (HMO D-SNP)","H6988-004","1155","1226","1226","","","300","","","","","","","","","","","","","","","","","435","","","","71","75","","","","","","","","","275","","70","0","","","","","","","","","","","","","","0","",""
