"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","bronx","dutchess","erie","kings","montgomery","nassau","new_york","oneida","orange","putnam","queens","rensselaer","richmond","rockland","schenectady","suffolk","sullivan","ulster","westchester"
"1","Hamaspik Medicare Choice (HMO D-SNP)","H0034-002","0","0","0","","0","0","","0","","0","0","","0","0","0","","0","0","","","0","0","0"
"2","MetroPlus UltraCare (HMO D-SNP)","H0423-007","0","0","0","","0","","","0","","","0","","","","0","","0","","","","","",""
"3","Empire MediBlue HealthPlus Dual Plus (HMO D-SNP)","H1732-001","44","44","44","","16","","","16","","0","0","","0","","12","","0","0","","0","","","0"
"4","VillageCareMAX Medicare Total Advantage (HMO D-SNP)","H2168-002","2859","2859","2859","","621","","","910","","0","439","0","0","","889","","0","","","","","","0"
"5","Elderplan Plus Long Term Care (HMO D-SNP)","H3347-007","2443","2631","2631","","583","0","","956","","119","324","","0","0","527","","53","0","","0","","","69"
"6","Healthfirst CompleteCare (HMO D-SNP)","H3359-034","17201","17743","17743","","6575","0","0","3790","","312","4251","","0","","2444","","141","0","","0","0","","230"
"7","AgeWell New York Advantage Plus (HMO D-SNP)","H4922-010","12","32","32","","0","","","0","","20","0","","","","12","","","","","","","","0"
"8","VNSNY CHOICE Total (HMO D-SNP)","H5549-003","2817","2955","2955","","753","0","","644","","72","745","","","","574","","101","","","37","","","29"
"9","Fidelis Medicaid Advantage Plus (HMO D-SNP)","H5599-003","65","65","65","","14","","","28","","0","0","","","","23","","0","","","0","","","0"
"10","Fidelis Medicaid Advantage Plus (HMO D-SNP)","H5599-008","0","0","16","16","","","","","0","","","","","","","0","","","0","","","",""
"11","Senior Whole Health of New York NHC (HMO D-SNP)","H5992-007","109","109","109","","40","","","32","","0","17","","","","20","","0","","","","","","0"
"12","RiverSpring MAP (HMO D-SNP)","H6776-002","47","47","47","","17","","","16","","0","14","","","","0","","0","0","","","","","0"
"13","Centers Plan for Medicaid Advantage Plus (HMO D-SNP)","H6988-004","475","494","494","","135","","","165","","19","41","","","","110","","24","0","","0","","",""
