"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","bronx","dutchess","erie","kings","montgomery","nassau","new_york","oneida","orange","putnam","queens","rensselaer","richmond","rockland","schenectady","suffolk","sullivan","ulster","westchester"
"1","Hamaspik Medicare Choice (HMO D-SNP)","H0034-002","0","0","0","","0","0","","0","","0","0","","0","0","0","","0","0","","","0","0","0"
"2","MetroPlus UltraCare (HMO D-SNP)","H0423-007","0","0","0","","0","","","0","","","0","","","","0","","0","","","","","",""
"3","Empire MediBlue HealthPlus Dual Plus (HMO D-SNP)","H1732-001","70","70","70","","22","","","21","","0","12","","0","","15","","0","0","","0","","","0"
"4","VillageCareMAX Medicare Total Advantage (HMO D-SNP)","H2168-002","2898","2898","2898","","629","","","927","","0","448","0","0","","894","","0","","","","","","0"
"5","Elderplan Plus Long Term Care (HMO D-SNP)","H3347-007","2473","2663","2663","","591","0","","961","","116","333","","0","0","535","","53","0","","0","","","74"
"6","Healthfirst CompleteCare (HMO D-SNP)","H3359-034","17575","18140","18140","","6738","","0","3885","","321","4327","","0","","2482","","143","0","","0","0","","244"
"7","AgeWell New York Advantage Plus (HMO D-SNP)","H4922-010","12","36","36","","0","","","0","","24","0","","","","12","","","","","","","","0"
"8","VNSNY CHOICE Total (HMO D-SNP)","H5549-003","2856","3002","3002","","769","0","","658","","73","749","","","","578","","102","","","42","","","31"
"9","Fidelis Medicaid Advantage Plus (HMO D-SNP)","H5599-003","74","74","74","","15","","","33","","0","0","","","","26","","0","","","0","","","0"
"10","Fidelis Medicaid Advantage Plus (HMO D-SNP)","H5599-008","0","0","16","16","","","","","0","","","","","","","0","","","0","","","",""
"11","Senior Whole Health of New York NHC (HMO D-SNP)","H5992-007","109","109","109","","40","","","31","","0","17","","","","21","","0","","","","","","0"
"12","RiverSpring MAP (HMO D-SNP)","H6776-002","49","49","49","","19","","","16","","0","14","","","","0","","0","0","","","","","0"
"13","Centers Plan for Medicaid Advantage Plus (HMO D-SNP)","H6988-004","478","507","507","","140","","","167","","29","39","","","","107","","25","0","","","","",""
