"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","bronx","dutchess","erie","kings","montgomery","nassau","new_york","oneida","orange","putnam","queens","rensselaer","richmond","rockland","schenectady","suffolk","sullivan","ulster","westchester"
"1","Hamaspik Medicare Choice (HMO D-SNP)","H0034-002","0","0","0","","0","0","","0","","0","0","","0","0","0","","0","0","","","0","0","0"
"2","MetroPlus UltraCare (HMO D-SNP)","H0423-007","0","0","0","","0","","","0","","","0","","","","0","","0","","","","","",""
"3","Empire MediBlue HealthPlus Dual Plus (HMO D-SNP)","H1732-001","0","0","0","","0","","","0","","0","0","","0","","0","","0","0","","0","","","0"
"4","VillageCareMAX Medicare Total Advantage (HMO D-SNP)","H2168-002","2637","2637","2637","","614","","","836","","0","400","0","0","","787","","","","","","","","0"
"5","Elderplan Plus Long Term Care (HMO D-SNP)","H3347-007","2255","2434","2434","","489","0","","907","","114","298","","0","0","508","","53","0","","0","","","65"
"6","Healthfirst CompleteCare (HMO D-SNP)","H3359-034","15936","16417","16417","","6075","0","0","3491","","279","3976","","0","","2269","","125","0","","0","0","","202"
"7","AgeWell New York Advantage Plus (HMO D-SNP)","H4922-010","0","11","11","","0","","","0","","11","0","","","","0","","","","","","","","0"
"8","VNSNY CHOICE Total (HMO D-SNP)","H5549-003","2838","2963","2963","","750","0","","650","","68","770","","0","","572","","96","","","33","","","24"
"9","Fidelis Medicaid Advantage Plus (HMO D-SNP)","H5599-003","16","16","16","","0","","","16","","0","0","","","","0","","0","","","0","","","0"
"10","Fidelis Medicaid Advantage Plus (HMO D-SNP)","H5599-008","0","0","16","16","","","","","0","","","","","","","0","","","0","","","",""
"11","Senior Whole Health of New York NHC (HMO D-SNP)","H5992-007","114","114","114","","39","","","35","","0","18","","","","22","","0","","","","","","0"
"12","RiverSpring MAP (HMO D-SNP)","H6776-002","14","14","14","","14","","","0","","0","0","","","","0","","0","0","","","","","0"
"13","Centers Plan for Medicaid Advantage Plus (HMO D-SNP)","H6988-004","276","276","276","","74","","","106","","0","17","","","","61","","18","0","","","","",""
