"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","bronx","dutchess","erie","kings","montgomery","nassau","new_york","orange","putnam","queens","rensselaer","richmond","rockland","schenectady","suffolk","sullivan","ulster","westchester"
"1","Hamaspik Medicare Choice (HMO D-SNP)","H0034-002","21","33","60","","0","27","","21","","0","0","0","0","0","","0","12","","","0","0","0"
"2","MetroPlus UltraCare (HMO D-SNP)","H0423-007","0","0","0","","0","","","0","","","0","","","0","","0","","","","","",""
"3","Empire MediBlue HealthPlus Dual Plus (HMO D-SNP)","H1732-001","91","91","91","","25","","","30","","0","15","0","","21","","0","0","","0","","","0"
"4","VillageCareMAX Medicare Total Advantage (HMO D-SNP)","H2168-002","2915","2915","2915","","608","","","958","","0","438","0","","911","","0","","","","","","0"
"5","Elderplan Plus Long Term Care (HMO D-SNP)","H3347-007","2551","2748","2748","","629","0","","971","","122","351","0","0","544","","56","0","","0","","","75"
"6","Healthfirst CompleteCare (HMO D-SNP)","H3359-034","18238","18837","18849","","6940","","0","4044","","348","4510","12","","2589","","155","0","","0","0","","251"
"7","AgeWell New York Advantage Plus (HMO D-SNP)","H4922-010","12","37","37","","0","","","0","","25","0","","","12","","","","","","","","0"
"8","VNSNY CHOICE Total (HMO D-SNP)","H5549-003","2873","3022","3022","","774","0","","680","","76","728","","","589","","102","","","46","","","27"
"9","Fidelis Medicaid Advantage Plus (HMO D-SNP)","H5599-003","103","103","103","","19","","","44","","0","11","","","29","","0","","","0","","","0"
"10","Fidelis Medicaid Advantage Plus (HMO D-SNP)","H5599-008","0","0","16","16","","","","","0","","","","","","0","","","0","","","",""
"11","Senior Whole Health of New York NHC (HMO D-SNP)","H5992-007","110","110","110","","40","","","31","","0","16","","","23","","0","","","","","","0"
"12","RiverSpring MAP (HMO D-SNP)","H6776-002","47","47","47","","17","","","14","","0","16","","","0","","0","0","","0","","","0"
"13","Centers Plan for Medicaid Advantage Plus (HMO D-SNP)","H6988-004","565","602","602","","155","","","208","","37","40","","","127","","35","0","","","","",""
