"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chautauqua","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","genesee","greene","hamilton","herkimer","jefferson","kings","lewis","livingston","madison","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","ontario","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","tompkins","ulster","warren","washington","wayne","westchester","wyoming","yates"
"1","Hamaspik Medicare Select (HMO D-SNP)","H0034-001","96","265","582","0","","18","","","","","","","","0","","","41","","","","0","","0","","","","58","","","","","0","0","0","","","","","153","","","","0","0","0","20","119","","0","","","","","","","59","","","64","","","","50","",""
"2","MetroPlus Advantage Plan (HMO D-SNP)","H0423-001","9113","9113","9113","","","2161","","","","","","","","","","","","","","","","","","","","","3120","","","","0","","0","1611","","","0","","0","","","","","2130","","91","","","","","","","","","0","0","","","","","","","0","",""
"3","Empire MediBlue HealthPlus Dual Connect (HMO D-SNP)","H1732-003","10470","13065","13291","0","","1604","","","","","","","","","","","0","0","","","","","","","","","2905","","","","","","999","1379","0","","0","","226","","","","0","3933","","649","95","","0","","","","","","954","","","","0","","","0","547","",""
"4","VillageCareMAX Medicare Health Advantage (HMO D-SNP)","H2168-001","474","474","474","","","107","","","","","","","","","","","","","","","","","","","","","144","","","","","","0","73","","","","","","","","","","150","","","0","","","","","","","","","","","","","","","","","",""
"5","Aetna Medicare Assure Plan (HMO D-SNP)","H3312-069","4238","6894","6894","","","630","","","","","","","","","","0","0","","","","","","","","","","1459","","","","","","762","723","","","","","","","","0","","1067","","359","192","","","0","","","","","1049","0","","","0","","","","653","",""
"6","EmblemHealth VIP Dual (HMO D-SNP)","H3330-042","17072","22052","22690","42","","4183","0","","","","","","","0","","0","118","","","","","","15","","0","0","4546","","","","","0","1596","2722","","0","","","277","","","","20","4792","0","829","185","0","17","0","","","","","1594","55","","","94","0","0","","1605","",""
"7","Elderplan For Medicaid Beneficiaries (HMO D-SNP)","H3347-002","4342","4480","4480","","","1108","0","","","","","","","","","","","","","","","","","","","","1616","","","","","","73","552","","","","","0","","","","","1066","","0","","","","","","","","","","","","","","","","","65","",""
"8","Healthfirst Life Improvement Plan (HMO D-SNP)","H3359-021","135133","142313","142790","0","","37769","0","","","","","","0","","0","0","0","","","","","","","","","","35055","","","","0","","4160","29350","","","0","","381","","","","0","30351","","2608","154","0","0","","","","","","55","96","","","0","","","","2811","",""
"9","UnitedHealthcare Dual Complete Plan 1 (HMO D-SNP)","H3387-014","65280","75525","112788","837","231","9308","1345","360","374","959","507","226","613","131","174","84","877","6044","156","0","0","391","129","0","169","1144","20915","139","422","319","8162","139","3860","12085","1377","1101","3074","739","1265","319","567","0","110","20357","437","2615","669","361","529","36","58","250","0","508","3070","476","185","","525","245","198","659","2646","179","133"
"10","UnitedHealthcare Dual Complete Plan 2 (HMO D-SNP)","H3387-015","3062","3932","8229","84","33","246","208","47","48","151","68","27","118","11","29","15","60","755","28","","0","52","20","0","21","118","942","31","60","35","889","14","326","394","178","99","236","77","117","47","70","","12","1371","32","109","48","46","49","0","0","34","","66","324","47","24","","57","24","14","84","172","33","29"
"11","Humana Gold Plus SNP-DE H3533-034 (HMO D-SNP)","H3533-034","7265","10784","10784","","","591","","","","","","","","","","","","","","","","","","","","0","2129","","","","","","1325","1199","","","","","","","","","","2587","","759","","0","0","","","","","","2194","","","","","","","","","",""
"12","AgeWell New York FeelWell (HMO D-SNP)","H4922-003","35","88","88","","","11","","","","","","","","","","","","","","","","","","","","","0","","","","","","53","0","","","","","","","","","","24","","","","","","","","","","","","","","","","","","","0","",""
"13","VNSNY CHOICE EasyCare Plus (HMO D-SNP)","H5549-011","1444","1517","1517","","","439","","","","","","","","","","","","","","","","","","","","","518","","","","","","28","229","","","","","","","","","","211","","47","","","","","","","","","16","","","","","","","","29","",""
