"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chautauqua","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","genesee","greene","hamilton","herkimer","jefferson","kings","lewis","livingston","madison","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","ontario","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","tompkins","ulster","warren","washington","wayne","westchester","wyoming","yates"
"1","Hamaspik Medicare Select (HMO D-SNP)","H0034-001","43","74","227","0","","21","","","","","","","","0","","","17","","","","0","","0","","","","0","","","","","0","0","0","","","","","51","","","","0","0","0","22","31","","0","","","","","","","51","","","34","","","","0","",""
"2","MetroPlus Advantage Plan (HMO D-SNP)","H0423-001","8780","8780","8780","","","2111","","","","","","","","0","","","","","","","","","","","","","3074","","","","","","0","1539","","","0","","","","","","0","1982","","74","","","","","","","","","","","","","0","","","","0","",""
"3","Empire MediBlue HealthPlus Dual Connect (HMO D-SNP)","H1732-003","5980","7216","7334","","","1067","","","","","","","","","","","0","","","","","","","","","","1573","","","","","","469","809","","","","","118","","","","0","2209","","322","42","","","","","","","","468","0","","","0","","","","257","",""
"4","VillageCareMAX Medicare Health Advantage (HMO D-SNP)","H2168-001","585","585","585","","","55","","","","","","","","","","","","","","","","","","","","","155","","","","","","","85","","","","","0","","","","","290","","0","","","","","","","","","","","","","","","","","","",""
"5","Aetna Medicare Assure Plan (HMO D-SNP)","H3312-069","2813","4301","4301","","","486","","","","","","","","","","","","","","","","","","","","","1003","","","","","","389","452","","","","","","","","","0","678","","194","115","","","","","","","","555","","","","","","","","429","",""
"6","EmblemHealth VIP Dual (HMO D-SNP)","H3330-042","22131","27945","28862","55","","5940","11","","","","","","","14","","0","153","0","","0","","","23","","","","5650","","","","0","0","1752","3527","","0","0","","381","","","","30","6033","12","981","272","0","58","","","","","","1722","66","","","114","0","0","","2068","",""
"7","Elderplan For Medicaid Beneficiaries (HMO D-SNP)","H3347-002","4431","4569","4569","","","1199","","","","","","","","","","","","","","","","","","","","","1587","","","","","","63","579","","","","","0","","","","","1066","","","","","","","","","","","","","","","","","","","75","",""
"8","Healthfirst Life Improvement Plan (HMO D-SNP)","H3359-021","123359","128802","129150","0","","34523","","","","","","","","","","","0","0","","","","","","","","","32272","","","","0","","3337","27905","0","","0","","273","","","","0","26467","0","2192","88","","0","","","","","","32","75","","","0","","","","1986","",""
"9","AgeWell New York FeelWell (HMO D-SNP)","H4922-003","27","99","99","","","0","","","","","","","","","","","","","","","","","","","","","0","","","","","","72","0","","","","","","","","","","27","","","","","","","","","","","","","","","","","","","0","",""
"10","Fidelis Dual Advantage Flex (HMO D-SNP)","H5599-001","17981","24715","42221","807","71","2679","304","178","245","0","320","355","290","227","179","288","759","1900","129","204","326","0","201","11","479","0","5671","106","0","0","0","401","1556","2796","842","1818","1354","0","376","62","679","215","183","5752","360","1083","1097","338","860","72","126","52","620","372","2332","142","164","","509","257","228","0","1749","51","46"
"11","EmblemHealth VIP Dual Reserve (HMO D-SNP)","H5991-010","1184","1184","1184","","","405","","","","","","","","","","","","","","","","","","","","","203","","","","","","0","244","","","","","","","","","","332","","0","","","","","","","","","","","","0","","","","","","",""
"12","Centers Plan for Dual Coverage Care (HMO D-SNP)","H6988-002","863","863","863","","","232","","","","","","","","","","","","","","","","","","","","","338","","","","","","0","69","","","","","","","","","","176","","48","","","","","","","","","","","","","","","","","","",""
"13","Empire MediBlue Dual Advantage (HMO D-SNP)","H8432-007","3424","3886","3936","","","400","","","","","","","","","","","","","","","","","","","","","1223","","","","","","293","490","","","","","50","","","","","953","","358","","","","","","","","","0","","","","","","","","169","",""
"14","Empire MediBlue Dual Advantage Select (HMO D-SNP)","H8432-028","4237","5304","5730","0","","1031","","","","","","","","","","","0","","","","","","","","","","931","","","","","","415","755","","","","","255","","","","","1249","","271","64","","","0","","","","","0","57","","","114","","","","588","",""
