"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chautauqua","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","genesee","greene","hamilton","herkimer","jefferson","kings","lewis","livingston","madison","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","ontario","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","tompkins","ulster","warren","washington","wayne","westchester","wyoming","yates"
"1","Hamaspik Medicare Select (HMO D-SNP)","H0034-001","36","59","185","0","","36","","","","","","","","0","","","13","","","","","","0","","","","0","","","","","0","0","0","","","","","37","","","","0","0","0","0","23","","0","","","","","","","50","","","26","","","","0","",""
"2","MetroPlus Advantage Plan (HMO D-SNP)","H0423-001","8379","8379","8379","","","2048","","","","","","","","","","","0","0","","","","","","","","","2973","","","","","","0","1462","","","","","0","","","","","1831","","65","0","","","","","","","","0","","","","","","","","0","",""
"3","Empire MediBlue HealthPlus Dual Connect (HMO D-SNP)","H1732-003","4044","4773","4840","","","655","","","","","","","","","","","","","","","","","","","","","1007","","","","","","299","462","","","","","67","","","","","1707","","213","18","","","","","","","","249","","","","0","","","","163","",""
"4","VillageCareMAX Medicare Health Advantage (HMO D-SNP)","H2168-001","389","389","389","","","45","","","","","","","","","","","","","","","","","","","","","109","","","","","","0","53","","","","","0","","","","","182","","","","","","","","","","","","","","","","","","","","",""
"5","Aetna Medicare Assure Plan (HMO D-SNP)","H3312-069","1911","2974","2974","","","308","","","","","","","","","","","","","","","","","","","","","684","","","","0","","284","324","","","0","","","","","","","455","","140","84","","","","","","","","402","","","","","","","","293","",""
"6","EmblemHealth VIP Dual (HMO D-SNP)","H3330-042","21510","27069","27905","51","","5674","0","","","","","","","15","","0","152","0","","0","","","21","","","","5623","","","","","","1714","3436","","","0","","343","","","","23","5824","13","953","252","0","32","","","","0","","1672","62","","","124","0","0","","1921","",""
"7","Elderplan For Medicaid Beneficiaries (HMO D-SNP)","H3347-002","4113","4255","4255","","","1088","","","","","","","","","","","","0","","","","","","","","","1454","","","","","","58","590","","","","","","","","","","981","","","","","","","","","","","","","","","","","","","84","",""
"8","Healthfirst Life Improvement Plan (HMO D-SNP)","H3359-021","118340","123336","123660","0","","33246","0","","","0","","","","","","","0","0","","","","","","","","0","31007","","","","0","","3036","27233","","0","0","","254","","","","0","24811","","2043","67","","0","","","","","","31","70","","","0","","","","1862","",""
"9","AgeWell New York FeelWell (HMO D-SNP)","H4922-003","29","109","109","","","0","","","","","","","","","","","","","","","","","","","","","0","","","","","","80","0","","","","","","","","","","29","","","","","","","","","","","","","","","","","","","0","",""
"10","Fidelis Dual Advantage Flex (HMO D-SNP)","H5599-001","18251","24855","42237","823","61","2692","301","160","247","0","310","363","278","229","177","289","748","1925","134","187","321","0","198","0","486","0","5823","89","0","0","0","405","1474","2966","829","1857","1350","0","369","56","671","215","167","5693","359","1077","1087","324","885","65","123","53","582","348","2331","157","170","0","482","255","237","0","1712","48","49"
"11","EmblemHealth VIP Dual Reserve (HMO D-SNP)","H5991-010","1066","1066","1066","","","288","","","","","","","","","","","","","","","","","","","","","199","","","","","","0","211","","","","","","","","","","368","","0","","","","","","","","","","","","","","","","","","",""
"12","Centers Plan for Dual Coverage Care (HMO D-SNP)","H6988-002","846","846","846","","","235","","","","","","","","","","","","","","","","","","","","","328","","","","","","0","65","","","","","","","","","","176","","42","","","","","","","","","","","","","","","","","","",""
"13","Empire MediBlue Dual Advantage (HMO D-SNP)","H8432-007","3743","4235","4294","","","452","","","","","","","","","","","","0","","","","","","","","","1325","","","","","","310","554","","","","","59","","","","","1026","","386","0","","","","","","","","0","0","","","","","","","182","",""
"14","Empire MediBlue Dual Advantage Select (HMO D-SNP)","H8432-028","4539","5637","6070","0","","1095","","","","","","","","","","","0","","","","","","","","","","1029","","","","0","","432","784","","","","","275","","","","","1342","","289","60","","","0","","","","","0","48","","","110","","","","606","",""
