"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chautauqua","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","genesee","greene","hamilton","herkimer","jefferson","kings","lewis","livingston","madison","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","ontario","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","tompkins","ulster","warren","washington","wayne","westchester","wyoming","yates"
"1","Hamaspik Medicare Select (HMO D-SNP)","H0034-001","85","254","569","0","","11","","","","","","","","0","","","42","","","","0","","0","","","","55","","","","","0","0","0","","","","","152","","","","0","0","0","19","120","","0","","","","","","","60","","","61","","","","49","",""
"2","MetroPlus Advantage Plan (HMO D-SNP)","H0423-001","9233","9233","9233","0","","2200","","","","","","","","","","","0","0","","","","","","","","","3151","","","","","","0","1629","","","","","0","","","","","2160","","93","0","","","","","","","","0","0","","","","","","","0","",""
"3","Empire MediBlue HealthPlus Dual Connect (HMO D-SNP)","H1732-003","10606","13283","13506","0","","1605","","","","","","","","","","","0","0","","","","","","","","","2930","","","","","","1034","1383","0","","0","","223","","","","0","4050","","638","96","","0","","","","","","970","","","","0","","","","577","",""
"4","VillageCareMAX Medicare Health Advantage (HMO D-SNP)","H2168-001","493","493","493","","","115","","","","","","","","","","","","","","","","","","","","","143","","","","","","0","79","","","","","","","","","","156","","","0","","","","","","","","","","","","","","","","","",""
"5","Aetna Medicare Assure Plan (HMO D-SNP)","H3312-069","4303","6994","6994","","","634","","","","","","","","","","0","0","","","","","","","","","","1491","","","","","","772","719","","","","","","","","0","","1093","","366","201","","","","","","","","1054","0","","","0","","","","664","",""
"6","EmblemHealth VIP Dual (HMO D-SNP)","H3330-042","16817","21792","22426","45","","4107","0","","","","","","","0","","0","114","","","","","","13","","0","","4460","","","","0","0","1594","2671","","0","","","279","","","","20","4758","0","821","182","0","16","0","","","","","1599","55","","","92","0","0","","1600","",""
"7","Elderplan For Medicaid Beneficiaries (HMO D-SNP)","H3347-002","4283","4418","4418","","","1077","0","","","","","","","","","","","","","","","","","","","","1596","","","","","","70","548","","","","","0","","","","","1062","","0","","","","","","","","","","","","","","","","","65","",""
"8","Healthfirst Life Improvement Plan (HMO D-SNP)","H3359-021","136554","143904","144395","0","","38160","0","","","","","","0","","0","0","0","","","","","","","","","","35455","","","","0","","4236","29549","","","0","","394","","","","0","30735","","2655","163","0","0","","","","","","45","97","","","0","","","","2906","",""
"9","UnitedHealthcare Dual Complete Plan 1 (HMO D-SNP)","H3387-014","65746","76178","114131","869","241","9336","1370","363","376","975","519","232","632","140","179","87","889","6147","160","0","0","400","132","0","171","1160","21153","151","429","323","8255","143","3898","12112","1389","1131","3129","746","1298","327","586","0","113","20513","445","2632","686","365","526","37","60","268","0","528","3184","484","182","","543","252","202","672","2664","191","136"
"10","UnitedHealthcare Dual Complete Plan 2 (HMO D-SNP)","H3387-015","3016","3885","8188","81","32","243","209","50","50","153","67","28","117","13","28","16","58","764","30","","0","50","20","0","21","118","935","31","60","36","882","13","318","394","174","99","236","78","112","46","72","","13","1341","32","103","52","46","47","0","0","36","","67","328","47","26","","55","25","16","86","171","33","30"
"11","Humana Gold Plus SNP-DE H3533-034 (HMO D-SNP)","H3533-034","7285","10821","10821","","","605","","","","","","","","","","","","","","","","","","","","0","2129","","","","","","1308","1199","","","","","","","","","","2585","","767","","0","","","","","","","2228","","","","","","","","","",""
"12","AgeWell New York FeelWell (HMO D-SNP)","H4922-003","34","85","85","","","11","","","","","","","","","","","","","","","","","","","","","0","","","","","","51","0","","","","","","","","","","23","","","","","","","","","","","","","","","","","","","0","",""
"13","VNSNY CHOICE EasyCare Plus (HMO D-SNP)","H5549-011","1523","1602","1602","","","453","","","","","","","","","","","","","","","","","","","","","556","","","","","","32","245","","","","","","","","","","221","","48","","","","","","","","","18","","","","","","","","29","",""
"14","Wellcare Fidelis Dual Access (HMO D-SNP)","H5599-001","18355","25954","45428","854","101","2855","347","259","277","0","407","403","410","238","207","349","720","1923","167","307","396","0","224","16","490","0","5739","145","","0","0","437","1787","2757","919","1908","1500","0","437","80","776","231","179","5814","383","1190","1289","403","871","99","140","54","727","477","2645","169","180","0","550","316","299","","1878","61","38"
"15","HumanaChoice SNP-DE H5970-026 (PPO D-SNP)","H5970-026","910","910","910","","","891","","","","","","","","","","","","","","","","","","","","","0","","","","","","","19","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"16","EmblemHealth VIP Dual Reserve (HMO D-SNP)","H5991-010","894","894","894","","","309","","","","","","","","","","","","","","","","","","","","","221","","","","","","","176","","","","","","","","","","188","","","","","","","","","","","","","","","","","","","0","",""
"17","Senior Whole Health Medicare Complete Care (HMO D-SNP)","H5992-008","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","0","","","","","","0","0","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","0","",""
"18","Centers Plan for Dual Coverage Care (HMO D-SNP)","H6988-002","804","826","826","","","237","","","","","","","","","","","","","","","","","","","","","301","","","","","","22","55","","","","","","","","","","172","","39","0","","","","","","","","","","","","","","","","","",""
"19","Empire MediBlue Dual Advantage (HMO D-SNP)","H8432-007","2753","3162","3199","","","305","","","","","","0","","","","","","","","","","","","","","","978","","","","","","269","397","","","","","37","","","","0","778","","295","","","","","","","","","0","","","","","","","","140","",""
"20","Empire MediBlue Dual Advantage Select (HMO D-SNP)","H8432-028","3184","4077","4407","","","743","","","","","","","","","","","0","0","","","","","","","","","744","","","","0","","345","573","","","","","186","","","","","905","","219","51","","","","","","","","0","48","","","96","","","","497","",""
