"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chautauqua","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","genesee","greene","hamilton","herkimer","jefferson","kings","lewis","livingston","madison","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","ontario","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","tompkins","ulster","warren","washington","wayne","westchester","wyoming","yates"
"1","Hamaspik Medicare Select (HMO D-SNP)","H0034-001","33","54","187","0","","33","","","","","","","","0","","","14","","","","0","","0","","","","0","","","","","0","0","0","","","","","39","","","","0","0","0","0","21","","0","","","","","","","49","","","31","","","","0","",""
"2","MetroPlus Advantage Plan (HMO D-SNP)","H0423-001","8509","8509","8509","","","2076","","","","","","","","","","","0","","","","","","","","","","3020","","","","","","0","1467","","","0","","0","","","","","1875","","71","","","","","","","","","0","","","","","","","","0","",""
"3","Empire MediBlue HealthPlus Dual Connect (HMO D-SNP)","H1732-003","4602","5442","5515","","","779","","","","","","","","","","","","","","","","","","","","","1200","","","","","","324","556","","","","","73","","","","","1822","","245","24","","","","","","","","311","","","","0","","","","181","",""
"4","VillageCareMAX Medicare Health Advantage (HMO D-SNP)","H2168-001","443","443","443","","","48","","","","","","","","","","","","","","","","","","","","","130","","","","","","0","56","","","","","0","","","","","209","","","","","","","","","","","","","","","","","","","","",""
"5","Aetna Medicare Assure Plan (HMO D-SNP)","H3312-069","2104","3271","3271","","","331","","","","","","","","","","","","","","","","","","","","","760","","","","","","302","348","","","0","","","","","","","511","","154","94","","","","","","","","444","","","","","","","","327","",""
"6","EmblemHealth VIP Dual (HMO D-SNP)","H3330-042","21649","27262","28105","53","","5728","0","","","","","","","15","","0","148","0","","0","","","21","","","","5647","","","","","","1719","3466","","","0","","345","","","","25","5855","15","953","259","0","40","","","","0","","1689","63","","","118","0","0","","1946","",""
"7","Elderplan For Medicaid Beneficiaries (HMO D-SNP)","H3347-002","4234","4372","4372","","","1136","","","","","","","","","","","","","","","","","","","","","1486","","","","","","57","597","","","","","0","","","","","1015","","","","","","","","","","","","","","","","","","","81","",""
"8","Healthfirst Life Improvement Plan (HMO D-SNP)","H3359-021","119089","124171","124494","0","","33450","0","","","0","","","","","","","0","0","","","","","","","","","31132","","","","0","","3114","27365","0","0","0","","252","","","","0","25076","","2066","71","","0","","","","","","27","71","","","0","","","","1870","",""
"9","AgeWell New York FeelWell (HMO D-SNP)","H4922-003","29","106","106","","","0","","","","","","","","","","","","","","","","","","","","","0","","","","","","77","0","","","","","","","","","","29","","","","","","","","","","","","","","","","","","","0","",""
"10","Fidelis Dual Advantage Flex (HMO D-SNP)","H5599-001","18268","24878","42320","817","64","2693","300","165","243","0","313","366","285","226","174","289","751","1927","132","195","318","0","200","0","482","0","5812","92","0","0","0","405","1495","2927","832","1856","1359","0","367","58","676","217","171","5747","361","1089","1088","325","879","65","124","54","599","356","2321","154","172","0","485","256","236","0","1706","49","47"
"11","EmblemHealth VIP Dual Reserve (HMO D-SNP)","H5991-010","1077","1077","1077","","","297","","","","","","","","","","","","","","","","","","","","","196","","","","","","0","228","","","","","","","","","","356","","0","","","","","","","","","","","","","","","","","","",""
"12","Centers Plan for Dual Coverage Care (HMO D-SNP)","H6988-002","877","877","877","","","248","","","","","","","","","","","","","","","","","","","","","339","","","","","","0","68","","","","","","","","","","178","","44","","","","","","","","","","","","","","","","","","",""
"13","Empire MediBlue Dual Advantage (HMO D-SNP)","H8432-007","3681","4162","4219","","","438","","","","","","","","","","","","","","","","","","","","","1302","","","","","","304","547","","","","","57","","","","","1010","","384","0","","","","","","","","0","0","","","","","","","177","",""
"14","Empire MediBlue Dual Advantage Select (HMO D-SNP)","H8432-028","4486","5596","6032","0","","1086","","","","","","","","","","","0","","","","","","","","","","1025","","","","0","","437","768","","","","","272","","","","","1324","","283","64","","","0","","","","","0","51","","","113","","","","609","",""
