"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chautauqua","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","genesee","greene","hamilton","herkimer","jefferson","kings","lewis","livingston","madison","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","ontario","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","tompkins","ulster","warren","washington","wayne","westchester","wyoming","yates"
"1","Hamaspik Medicare Select (HMO D-SNP)","H0034-001","97","257","568","0","","18","","","","","","","","0","","","42","","","","0","","0","","","","58","","","","","0","0","0","","","","","149","","","","0","0","0","21","117","","0","","","","","","","59","","","61","","","","43","",""
"2","MetroPlus Advantage Plan (HMO D-SNP)","H0423-001","9096","9096","9096","","","2182","","","","","","","0","","","","","","","","","","","","","","3118","","","","0","","0","1596","","","0","","0","","","","","2115","","85","","","","","","","","","0","0","","","","","","","0","",""
"3","Empire MediBlue HealthPlus Dual Connect (HMO D-SNP)","H1732-003","10288","12790","13022","0","","1609","0","","","","","","","","","","0","0","","","","","","","","","2868","","","","0","","945","1381","0","","0","","232","","","","0","3790","","640","93","","0","","","","","","922","","","","0","","","0","542","",""
"4","VillageCareMAX Medicare Health Advantage (HMO D-SNP)","H2168-001","449","449","449","","","101","","","","","","","","","","","","","","","","","","","","","137","","","","","","0","64","","","","","","","","","","147","","0","0","","","","","","","","","","","","","","","","","",""
"5","Aetna Medicare Assure Plan (HMO D-SNP)","H3312-069","4138","6694","6694","","","640","","","","","","","","","","0","0","","","","","","","","","","1411","","","","0","","735","704","","0","","","","","","0","","1046","","337","188","","","","","","","","993","0","","","","","","","640","",""
"6","EmblemHealth VIP Dual (HMO D-SNP)","H3330-042","17394","22416","23070","42","","4295","0","","","","","","","0","","0","122","","","","","","15","","0","0","4658","","","","","0","1623","2766","","","","","285","","","","20","4842","0","833","190","0","17","0","","","","","1597","57","","","96","0","0","","1612","",""
"7","Elderplan For Medicaid Beneficiaries (HMO D-SNP)","H3347-002","4372","4506","4506","","","1146","0","","","","","","","","","","","","","","","","","","","","1614","","","","","","73","543","","","","","0","","","","","1069","","0","","","","","","","","","","","","","","","","","61","",""
"8","Healthfirst Life Improvement Plan (HMO D-SNP)","H3359-021","133987","141030","141479","0","","37468","0","","","","","","","","","0","0","","","","","","","","","","34722","","","","0","","4114","29304","","","0","","359","","","","0","29937","","2556","150","0","","","","","","","50","90","","","","","","","2729","",""
"9","UnitedHealthcare Dual Complete Plan 1 (HMO D-SNP)","H3387-014","64827","74935","111505","806","224","9265","1338","343","363","945","498","219","603","126","168","82","852","5964","156","0","0","388","128","0","166","1129","20750","134","421","315","8077","134","3860","11985","1337","1058","3011","717","1239","309","546","0","107","20230","424","2597","660","356","507","34","59","239","0","488","2998","471","181","","521","238","190","649","2590","176","134"
"10","UnitedHealthcare Dual Complete Plan 2 (HMO D-SNP)","H3387-015","3118","4002","8314","86","36","260","213","48","50","154","68","29","118","11","29","15","61","762","26","0","0","52","19","0","20","120","964","31","57","34","880","16","330","394","175","104","247","76","115","45","69","","12","1383","28","117","48","46","51","0","0","35","","66","332","48","23","","60","25","14","77","174","33","28"
"11","Humana Gold Plus SNP-DE H3533-034 (HMO D-SNP)","H3533-034","7188","10623","10623","","","593","","","","","","","","","","","","","","","","","","","","","2097","","","","","","1308","1205","","","","","","","","0","","2538","","755","","0","0","","","","","","2127","","","","","","","","0","",""
"12","AgeWell New York FeelWell (HMO D-SNP)","H4922-003","25","81","81","","","0","","","","","","","","","","","","","","","","","","","","","0","","","","","","56","0","","","","","","","","","","25","","","","","","","","","","","","","","","","","","","0","",""
"13","VNSNY CHOICE EasyCare Plus (HMO D-SNP)","H5549-011","1360","1429","1429","","","397","","","","","","","","","","","","","","","","","","","","","508","","","","","","26","208","","","","","","","","","","207","","40","","","","","","","","","14","","","","","","","","29","",""
"14","Wellcare Fidelis Dual Access (HMO D-SNP)","H5599-001","18232","25653","45010","855","98","2828","338","252","285","0","397","393","395","241","207","340","727","1932","159","289","387","","219","15","490","0","5717","141","","0","0","428","1720","2730","919","1921","1513","0","451","81","766","233","177","5775","380","1182","1261","412","869","96","140","53","707","461","2600","171","175","0","548","312","284","0","1840","59","41"
"15","HumanaChoice SNP-DE H5970-026 (PPO D-SNP)","H5970-026","819","819","819","","","803","","","","","","","","","","","","","","","","","","","","","0","","","","","","0","16","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"16","EmblemHealth VIP Dual Reserve (HMO D-SNP)","H5991-010","942","942","942","","","332","","","","","","","","","","","","","","","","","","","","","233","","","","","","","176","","","","","","","","","","201","","","","","","","","","","0","","","","","","","","","0","",""
"17","Senior Whole Health Medicare Complete Care (HMO D-SNP)","H5992-008","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","0","","","","","","0","0","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","0","",""
"18","Centers Plan for Dual Coverage Care (HMO D-SNP)","H6988-002","867","897","897","","","251","","","","","","","","","","","","","","","","","","","","","333","","","","","","30","63","","","","","","","","","","177","","43","0","","","","","","","","","","","","","","","","","",""
"19","Empire MediBlue Dual Advantage (HMO D-SNP)","H8432-007","2862","3295","3335","","","322","","","","","","","","","","","","","","","","","","","","","1031","","","","","","280","407","","","","","40","","","","0","797","","305","0","","","","","","","","0","","","","","","","","153","",""
"20","Empire MediBlue Dual Advantage Select (HMO D-SNP)","H8432-028","3349","4273","4630","","","794","","","","","","","","","","","","","","","","","","","","","775","","","","","","356","599","","","","","199","","","","0","958","","223","52","","","","","","","","0","50","","","108","","","","516","",""
