"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chautauqua","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","genesee","greene","hamilton","herkimer","jefferson","kings","lewis","livingston","madison","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","ontario","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","tompkins","ulster","warren","washington","wayne","westchester","wyoming","yates"
"1","Hamaspik Medicare Select (HMO D-SNP)","H0034-001","97","254","560","0","","18","","","","","","","","0","","","41","","","","0","","0","","","","58","","","","","0","0","0","","","","","146","","","","0","0","0","21","117","","0","","","","","","","59","","","60","","","","40","",""
"2","MetroPlus Advantage Plan (HMO D-SNP)","H0423-001","8948","8948","8948","","","2145","","","","","","","0","","","","","","","","","","","","","","3065","","","","0","","0","1580","","","0","","","","","","","2078","","80","0","","","","","","","","0","","","","","","","","0","",""
"3","Empire MediBlue HealthPlus Dual Connect (HMO D-SNP)","H1732-003","9916","12300","12524","","","1584","0","","","","","","","","","","0","0","","","","","","","","","2754","","","","","","903","1364","0","","0","","224","","","","0","3584","","630","90","","0","","","","","","883","","","","0","","","0","508","",""
"4","VillageCareMAX Medicare Health Advantage (HMO D-SNP)","H2168-001","454","454","454","","","91","","","","","","","","","","","","","","","","","","","","","140","","","","","","0","65","","","","","","","","","","158","","","0","","","","","","","","","","","","","","","","","",""
"5","Aetna Medicare Assure Plan (HMO D-SNP)","H3312-069","4027","6535","6535","","","633","","","","","","","","","","0","0","","","","","","","","","","1377","","","","0","","718","691","","0","","","0","","","0","","999","","327","184","","","","","","","","971","","","","","","","","635","",""
"6","EmblemHealth VIP Dual (HMO D-SNP)","H3330-042","17602","22629","23285","43","","4383","0","","","","","","","0","","0","120","","","","","","15","","0","0","4693","","","","","0","1614","2807","","","","","286","","","","20","4872","0","847","193","0","19","0","","","","","1595","57","","","96","0","0","","1625","",""
"7","Elderplan For Medicaid Beneficiaries (HMO D-SNP)","H3347-002","4399","4532","4532","","","1161","0","","","","","","","","","","","0","","","","","","","","","1618","","","","","","71","539","","","","","0","","","","","1081","","0","","","","","","","","","","","","","","","","","62","",""
"8","Healthfirst Life Improvement Plan (HMO D-SNP)","H3359-021","132835","139730","140166","0","","37220","0","","","","","","","","","0","0","0","","","","","","","","","34350","","","","0","","4041","29196","","","0","","347","","","","0","29542","","2527","142","","0","","","","","","52","89","","","0","","","0","2660","",""
"9","UnitedHealthcare Dual Complete Plan 1 (HMO D-SNP)","H3387-014","64458","74418","110408","808","222","9229","1335","335","357","930","493","213","588","123","164","80","847","5908","154","0","0","381","133","0","163","1096","20593","135","414","306","7950","131","3839","11946","1311","1030","2979","691","1227","308","530","0","100","20089","407","2601","654","341","498","34","55","240","0","472","2908","461","178","","516","225","186","634","2559","171","130"
"10","UnitedHealthcare Dual Complete Plan 2 (HMO D-SNP)","H3387-015","3175","4079","8392","88","36","264","214","51","49","155","70","30","122","11","27","16","60","754","24","0","0","51","19","0","20","119","989","32","59","34","889","17","335","407","175","102","248","77","113","46","68","","13","1396","27","119","47","47","52","0","0","34","","63","345","45","22","","60","24","14","75","177","33","28"
