"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chautauqua","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","genesee","greene","hamilton","herkimer","jefferson","kings","lewis","livingston","madison","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","ontario","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","tompkins","ulster","warren","washington","wayne","westchester","wyoming","yates"
"1","Hamaspik Medicare Select (HMO D-SNP)","H0034-001","0","0","0","0","","0","","","","","","","","0","","","0","","","","","","0","","","","0","","","","","0","0","0","","","","","0","","","","0","0","0","0","0","","0","","","","","","","0","","","0","","","","0","",""
"2","MetroPlus Advantage Plan (HMO D-SNP)","H0423-001","7907","7907","7907","","","1950","","","","","","","","","","","","0","","","","","","","","","2815","","","","","","","1399","","","","","","","","","0","1684","","59","","","","","","","","","","","","","","","","","0","",""
"3","Empire MediBlue HealthPlus Dual Connect (HMO D-SNP)","H1732-003","2076","2505","2535","","","303","0","","","","","","","","","","","","","","","","","","","","489","","","","","","170","242","","","","","30","","","","","914","","128","11","","","","","","","","142","0","","","","","","","106","",""
"4","VillageCareMAX Medicare Health Advantage (HMO D-SNP)","H2168-001","263","263","263","","","40","","","","","","","","","","","","0","","","","","","","","","76","","","","","","0","37","","","","","","","","","","110","","","","","","","","","","","","","","","","","","","","",""
"5","Aetna Medicare Assure Plan (HMO D-SNP)","H3312-069","1152","1753","1753","","","155","","","","","","","","","","","","","","","","","","","","","457","","","","","","165","177","","","","","","","","","","279","","84","46","","","","","","","","240","","","","","","","","150","",""
"6","EmblemHealth VIP Dual (HMO D-SNP)","H3330-042","21114","26548","27383","30","","5466","0","","","","","0","","0","","0","172","0","","0","","","16","","","","5456","","","","","","1674","3509","","0","0","","374","","","","26","5741","0","942","241","0","18","","","","","","1672","60","","","139","0","0","","1847","",""
"7","Elderplan For Medicaid Beneficiaries (HMO D-SNP)","H3347-002","4041","4182","4182","","","1006","","","","","","","","","","","","","","","","","","","","","1507","","","","","","54","576","","","","","","","","","","952","","0","","","","","","","","","","","","","","","","","87","",""
"8","Healthfirst Life Improvement Plan (HMO D-SNP)","H3359-021","115784","120422","120681","0","","32057","0","","","","","","","","","0","0","0","","","","","","","","0","30747","","","","","","2864","27061","","","0","","198","","","","0","24035","0","1884","29","0","0","","","","","","55","61","","","0","","","","1690","",""
"9","AgeWell New York FeelWell (HMO D-SNP)","H4922-003","33","124","124","","","0","","","","","","","","","","","","","","","","","","","","","0","","","","","","91","0","","","","","","","","","","33","","","","","","","","","","","","","","","","","","","0","",""
"10","Fidelis Dual Advantage Flex (HMO D-SNP)","H5599-001","18002","24281","41259","806","60","2545","309","147","242","0","303","331","271","226","175","277","697","1882","121","157","326","0","198","0","476","0","5814","86","0","0","0","403","1400","3044","819","1861","1308","0","409","41","633","204","156","5588","363","1011","1051","310","870","56","126","51","572","311","2211","165","174","0","474","261","228","0","1617","45","48"
"11","EmblemHealth VIP Dual Reserve (HMO D-SNP)","H5991-010","653","653","653","","","152","","","","","","","","","","","","","","","","","","","","","133","","","","","","0","155","","","","","","","","","","213","","0","","","","","","","","","","","","","","","","","","",""
"12","Centers Plan for Dual Coverage Care (HMO D-SNP)","H6988-002","650","650","650","","","155","","","","","","","","","","","","","","","","","","","","","255","","","","","","0","56","","","","","","","","","","152","","32","","","","","","","","","0","","","","","","","","","",""
"13","Empire MediBlue Dual Advantage (HMO D-SNP)","H8432-007","4103","4635","4700","","","520","","","","","","","","","","","","0","","","","","","","","","1460","","","","","","330","590","","","","","65","","","","","1111","","422","","","","","","","","","0","","","","","","","","202","",""
"14","Empire MediBlue Dual Advantage Select (HMO D-SNP)","H8432-028","5163","6300","6681","0","","1158","","","","","","","","0","","","0","","","","","","","","","","1119","","","","","","468","846","","","","","254","","","","0","1731","","309","65","","","0","","","","","0","41","","","86","","","","604","",""
