"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chautauqua","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","genesee","greene","hamilton","herkimer","jefferson","kings","lewis","livingston","madison","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","ontario","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","tompkins","ulster","warren","washington","wayne","westchester","wyoming","yates"
"1","Hamaspik Medicare Select (HMO D-SNP)","H0034-001","162","357","736","0","","28","","","","","","","","0","","","45","","","","","","0","","","","82","","","","","33","0","20","","","","","170","","","","0","13","0","19","141","","0","","","","","","0","74","","","57","","","","54","",""
"2","UnitedHealthcare Dual Complete Choice (PPO D-SNP)","H0271-060","1976","2451","5213","56","18","381","68","38","21","75","38","12","62","24","25","19","115","454","24","29","23","17","17","0","21","42","651","0","23","19","416","15","222","381","98","88","177","48","113","32","34","0","18","460","41","103","68","44","46","0","0","18","54","47","","36","14","","68","32","23","48","185","12","0"
"3","MetroPlus Advantage Plan (HMO D-SNP)","H0423-001","9318","9318","9318","0","","2176","","","","","","","","","","","","0","","","","","","","","","3197","","","","","","0","1626","","","","","","","","","","2211","","108","","","","","","","","","0","","","","","","","","0","",""
"4","Empire MediBlue HealthPlus Dual Connect (HMO D-SNP)","H1732-003","12279","15407","15649","","","1715","","","0","","","","","","","","0","0","","","","","0","","","","3298","","","","","","1223","1600","0","","","","242","","","","0","4974","","692","114","","","","","","","","1145","0","","","","","","","646","",""
"5","VillageCareMAX Medicare Health Advantage (HMO D-SNP)","H2168-001","462","462","462","","","139","","","","","","","","","","","","","","","","","","","","","123","","","","","","0","93","","","","","0","","","","","107","","0","0","","","","","","","","","","","","","","","","0","",""
"6","VillageCareMAX Medicare Health Advantage FLEX (HMO D-SNP)","H2168-003","47","47","47","","","0","","","","","","","","","","","","","","","","","","","","","16","","","","","","0","0","","","","","","","","","","31","","0","","","","","","","","","","","","","","","","","0","",""
"7","Aetna Medicare Assure Plan (HMO D-SNP)","H3312-069","5923","9505","9505","","","885","","","","","","","","","","0","0","","","","","","","","","","2028","","","","","","1059","938","","","","","0","","","","","1563","","509","246","","","","","","","","1382","","","","0","","","","895","",""
"8","EmblemHealth VIP Dual (HMO D-SNP)","H3330-042","15208","20075","20644","41","","3633","0","","","","","","","0","","0","91","","","","","","12","","0","","4028","","","","","","1555","2400","0","","0","","281","","","","21","4381","0","766","179","0","11","","","","","","1648","46","","","66","0","0","","1485","",""
"9","Elderplan For Medicaid Beneficiaries (HMO D-SNP)","H3347-002","3962","4083","4083","","","893","0","","","","","","","","","","","","","","","","","","","","1586","","","","","","65","474","","","","","","","","","","1009","","0","","","","","","","","","","","","","","","","","56","",""
"10","Healthfirst Life Improvement Plan (HMO D-SNP)","H3359-021","140656","148776","149171","0","","39701","0","","","","","","","","0","0","0","0","","","0","","","","","","35812","","","","0","","4695","30434","","","0","","338","","","0","0","32008","","2701","182","","0","","","0","0","","52","57","","","0","","","","3191","",""
