"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chautauqua","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","genesee","greene","hamilton","herkimer","jefferson","kings","lewis","livingston","madison","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","ontario","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","ulster","warren","washington","wayne","westchester","wyoming","yates"
"1","Hamaspik Medicare Select (HMO D-SNP)","H0034-001","54","75","206","0","","31","","","","","","","","0","","","13","","","","0","","0","","","","0","","","","","0","0","0","","","","","37","","","","0","0","0","23","21","","0","","","","","","","50","","31","","","","0","",""
"2","MetroPlus Advantage Plan (HMO D-SNP)","H0423-001","8609","8609","8609","","","2090","","","","","","","","","","","0","","","","","","","","","","3061","","","","","","0","1476","","","0","","0","","","","","1910","","72","","","","","","","","","0","","","","","","","0","",""
"3","Empire MediBlue HealthPlus Dual Connect (HMO D-SNP)","H1732-003","5050","5976","6064","","","870","","","","","","","","","","","","","","","","","","","","","1329","","","","","","366","633","","","","","88","","","","","1960","","258","28","","","","","","","","331","0","","0","","","","201","",""
"4","VillageCareMAX Medicare Health Advantage (HMO D-SNP)","H2168-001","511","511","511","","","62","","","","","","","","","","","","","","","","","","","","","144","","","","","","","65","","","","","0","","","","","240","","0","","","","","","","","","","","","","","","","","",""
"5","Aetna Medicare Assure Plan (HMO D-SNP)","H3312-069","2318","3575","3575","","","377","","","","","","","","","","","","","","","","","","","","","825","","","","","","335","392","","","","","","","","","","550","","174","98","","","","","","","","477","","","","","","","347","",""
"6","EmblemHealth VIP Dual (HMO D-SNP)","H3330-042","21852","27555","28418","56","","5816","0","","","","","","","15","","0","146","","","0","","","20","","","","5657","","","","","","1742","3495","","","0","","352","","","","28","5915","13","969","270","0","48","","","","0","","1712","69","","116","0","0","","1979","",""
"7","Elderplan For Medicaid Beneficiaries (HMO D-SNP)","H3347-002","4310","4449","4449","","","1159","","","","","","","","","","","","","","","","","","","","","1508","","","","","","56","601","","","","","0","","","","","1042","","","","","","","","","","","","","","","","","","83","",""
"8","Healthfirst Life Improvement Plan (HMO D-SNP)","H3359-021","120630","125829","126158","0","","33850","","","","0","","","","","","","0","0","","","","","","","","","31530","","","","0","","3172","27539","0","0","0","","262","","","","0","25608","","2103","77","","0","","","","","","32","67","","0","","","","1918","",""
"9","AgeWell New York FeelWell (HMO D-SNP)","H4922-003","30","105","105","","","0","","","","","","","","","","","","","","","","","","","","","0","","","","","","75","0","","","","","","","","","","30","","","","","","","","","","","","","","","","","","0","",""
"10","Fidelis Dual Advantage Flex (HMO D-SNP)","H5599-001","18242","24911","42396","823","65","2693","303","169","245","0","313","360","282","226","179","289","759","1922","130","197","319","0","196","0","484","0","5803","95","0","0","0","410","1524","2891","839","1854","1346","0","367","60","673","222","176","5764","363","1091","1088","327","879","70","124","55","605","361","2343","152","174","485","263","228","0","1714","50","46"
"11","EmblemHealth VIP Dual Reserve (HMO D-SNP)","H5991-010","1119","1119","1119","","","316","","","","","","","","","","","","","","","","","","","","","196","","","","","","0","254","","","","","","","","","","353","","0","","","","","","","","","","","","","","","","","",""
"12","Centers Plan for Dual Coverage Care (HMO D-SNP)","H6988-002","910","910","910","","","255","","","","","","","","","","","","","","","","","","","","","352","","","","","","0","74","","","","","","","","","","186","","43","","","","","","","","","","","","","","","","","",""
"13","Empire MediBlue Dual Advantage (HMO D-SNP)","H8432-007","3615","4085","4139","","","434","","","","","","","","","","","","","","","","","","","","","1277","","","","","","299","534","","","","","54","","","","","995","","375","","","","","","","","","0","","","","","","","171","",""
"14","Empire MediBlue Dual Advantage Select (HMO D-SNP)","H8432-028","4376","5477","5915","0","","1066","","","","","","","","","","","0","","","","","","","","","","977","","","","0","","434","757","","","","","269","","","","0","1298","","278","66","","","0","","","","","0","54","","115","","","","601","",""
