"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chautauqua","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","genesee","greene","hamilton","herkimer","jefferson","kings","lewis","livingston","madison","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","ontario","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","tompkins","ulster","warren","washington","wayne","westchester","wyoming","yates"
"1","Hamaspik Medicare Select (HMO D-SNP)","H0034-001","167","358","724","0","","30","","","","","","","","0","","","45","","","","0","","0","","","","81","","","","","33","0","22","","0","","","164","","","","0","15","0","19","138","","0","","","","","","0","70","","","54","","","","53","",""
"2","UnitedHealthcare Dual Complete Choice (PPO D-SNP)","H0271-060","1650","1998","4302","51","12","338","61","34","16","59","31","14","53","18","21","12","91","371","17","20","14","14","18","0","20","35","554","0","18","17","370","18","168","300","82","80","147","41","77","29","29","0","11","377","32","81","40","30","40","0","0","14","38","51","0","32","13","","51","27","23","41","140","11","0"
"3","MetroPlus Advantage Plan (HMO D-SNP)","H0423-001","9292","9292","9292","0","","2173","","","","","","","","","","","","0","","","","","","","","","3189","","","","","","0","1626","","","","","0","","","0","","2199","","105","","","","","","","","","0","0","","","","","","","0","",""
"4","Empire MediBlue HealthPlus Dual Connect (HMO D-SNP)","H1732-003","12013","15025","15257","","","1698","","","0","","","","","","","","","0","","","","","","","","","3246","","","","0","","1180","1571","","","","","232","","","","0","4808","","690","105","0","","","","","","","1099","0","","","","","0","","628","",""
"5","VillageCareMAX Medicare Health Advantage (HMO D-SNP)","H2168-001","468","468","468","","","135","","","","","","","","","","","","","","","","","","","","","122","","","","","","0","86","","","","","0","","","","","125","","0","0","","","","","","","","","","","","","","","","0","",""
"6","VillageCareMAX Medicare Health Advantage FLEX (HMO D-SNP)","H2168-003","24","24","24","","","0","","","","","","","","","","","","","","","","","","","","","0","","","","","","0","0","","","","","","","","","","24","","0","","","","","","","","","","","","","","","","","0","",""
"7","Aetna Medicare Assure Plan (HMO D-SNP)","H3312-069","5642","9049","9049","","","861","","","","","","","","","","0","0","","","","","","","","","","1914","","","","","","992","902","","","","","0","","","","","1481","","484","231","","","","","","","","1332","","","","0","","","","852","",""
"8","EmblemHealth VIP Dual (HMO D-SNP)","H3330-042","15396","20165","20743","43","","3671","0","","","","","","","0","","0","94","","","","","","13","","0","","4084","","","","","","1537","2443","0","","0","","280","","","","21","4416","0","782","176","0","12","","","","","","1582","47","","","68","0","0","","1474","",""
"9","Elderplan For Medicaid Beneficiaries (HMO D-SNP)","H3347-002","4063","4185","4185","","","922","0","","","","","","","","","","","","","","","","","","","","1615","","","","","","64","503","","","","","","","","","","1023","","0","","","","","","","","","","","","","","","","","58","",""
"10","Healthfirst Life Improvement Plan (HMO D-SNP)","H3359-021","139916","147895","148319","0","","39476","0","","","","","","","","0","0","0","0","","","0","","","","","","35964","","","","0","","4587","30222","","","0","","356","","","0","0","31563","","2691","173","","0","","","0","","","43","68","","","0","","","","3176","",""
