"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chautauqua","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","genesee","greene","hamilton","herkimer","jefferson","kings","lewis","livingston","madison","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","ontario","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","tompkins","ulster","warren","washington","wayne","westchester","wyoming","yates"
"1","Hamaspik Medicare Select (HMO D-SNP)","H0034-001","0","0","0","0","","0","","","","","","","","0","","","0","","","","","","0","","","","0","","","","","0","0","0","","","","","0","","","","0","0","0","0","0","","0","","","","","","","0","","","0","","","","0","",""
"2","MetroPlus Advantage Plan (HMO D-SNP)","H0423-001","7760","7760","7760","","","1913","","","","","","","","","","","","0","","","","","","","","","2726","","","","","","0","1398","","","","","","","","","0","1667","","56","0","","","","","","","","","","","","","","","","","",""
"3","Empire MediBlue HealthPlus Dual Connect (HMO D-SNP)","H1732-003","1403","1675","1694","","","248","0","","","","","","","","","","","","","","","","","","","","345","","","","","","118","173","","","","","19","","","","","551","","86","0","","","","","","","","80","0","","","","","","","74","",""
"4","VillageCareMAX Medicare Health Advantage (HMO D-SNP)","H2168-001","245","245","245","","","38","","","","","","","","","","","","0","","","","","","","","","80","","","","","","0","34","","","","","","","","","","93","","","","","","","","","","","","","","","","","","","","",""
"5","Aetna Medicare Assure Plan (HMO D-SNP)","H3312-069","906","1337","1337","","","124","","","","","","","","","","","","","","","","","","","","","356","","","","","","119","133","","","","","","","","","","236","","57","36","","","","","","","","182","","","","","","","","94","",""
"6","EmblemHealth VIP Dual (HMO D-SNP)","H3330-042","21043","26506","27293","0","","5375","0","","","","","0","","0","","0","167","0","","0","","","15","","","","5436","","","","","","1676","3499","","0","0","","377","","","","25","5799","0","934","232","0","11","","","","","","1701","54","","","138","0","0","","1854","",""
"7","Elderplan For Medicaid Beneficiaries (HMO D-SNP)","H3347-002","4020","4156","4156","","","999","","","","","","","","","","","","","","","","","","","","","1512","","","","","","56","568","","","","","","","","","","941","","0","","","","","","","","","","","","","","","","","80","",""
"8","Healthfirst Life Improvement Plan (HMO D-SNP)","H3359-021","114731","119282","119526","0","","31822","","","","","","","","0","","0","0","0","","","","","","","","0","30558","","","","","","2837","26945","","0","","","190","","","","0","23581","0","1825","15","0","0","","","","","","50","54","","0","0","","","","1649","",""
"9","AgeWell New York FeelWell (HMO D-SNP)","H4922-003","35","124","124","","","0","","","","","","","","","","","","","","","","","","","","","0","","","","","","89","0","","","","","","","","","","35","","","","","","","","","","","","","","","","","","","0","",""
"10","Fidelis Dual Advantage Flex (HMO D-SNP)","H5599-001","18283","24652","41880","825","60","2561","312","149","245","0","307","332","270","224","178","290","708","1890","121","161","329","0","197","0","472","0","5912","84","0","0","0","411","1397","3117","834","1879","1328","0","446","43","641","206","154","5668","370","1025","1064","312","887","54","126","52","574","321","2251","183","173","0","481","267","233","0","1657","48","51"
"11","EmblemHealth VIP Dual Reserve (HMO D-SNP)","H5991-010","337","337","337","","","86","","","","","","","","","","","","","","","","","","","","","60","","","","","","","97","","","","","","","","","","94","","0","","","","","","","","","","","","","","","","","","",""
"12","Centers Plan for Dual Coverage Care (HMO D-SNP)","H6988-002","720","720","720","","","166","","","","","","","","","","","","","","","","","","","","","279","","","","","","0","58","","","","","","","","","","180","","37","","","","","","","","","0","","","","","","","","","",""
"13","Empire MediBlue Dual Advantage (HMO D-SNP)","H8432-007","4180","4717","4781","","","537","","","","","","","","","","","0","","","","","","","","","","1477","","","","","","334","595","","","","","64","","","","","1138","","433","","","","","","","","","0","","","","0","","","","203","",""
"14","Empire MediBlue Dual Advantage Select (HMO D-SNP)","H8432-028","5532","6684","7062","0","","1153","","","","","","","","0","","","0","","","","","","","","","","1194","","","","","","486","872","","","","","250","","","","0","1986","","327","60","","","0","","","","","0","42","","","86","","","","606","",""
