"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chautauqua","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","genesee","greene","hamilton","herkimer","jefferson","kings","lewis","livingston","madison","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","ontario","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","tompkins","ulster","warren","washington","wayne","westchester","wyoming","yates"
"1","Hamaspik Medicare Select (HMO D-SNP)","H0034-001","91","258","579","0","","16","","","","","","","","0","","","43","","","","0","","0","","","","56","","","","","0","0","0","","","","","158","","","","0","0","0","19","119","","0","","","","","","","59","","","61","","","","48","",""
"2","MetroPlus Advantage Plan (HMO D-SNP)","H0423-001","9265","9265","9265","0","","2193","","","","","","","","","","","","","","","","","","","","","3171","","","","","","0","1631","","","","","0","","","","","2171","","99","","","","","","","","","0","0","","","","","","","0","",""
"3","Empire MediBlue HealthPlus Dual Connect (HMO D-SNP)","H1732-003","10990","13752","13986","","","1603","","","","","","","","","","","0","0","","","","","","","","","3050","","","","","","1086","1405","0","","0","","234","","","","0","4275","","657","97","","0","","","","","","998","","","","0","","","","581","",""
"4","VillageCareMAX Medicare Health Advantage (HMO D-SNP)","H2168-001","488","488","488","","","113","","","","","","","","","","","","","","","","","","","","","130","","","","","","0","85","","","","","","","","","","160","","0","0","","","","","","","","","","","","","","","","","",""
"5","Aetna Medicare Assure Plan (HMO D-SNP)","H3312-069","4416","7172","7172","","","648","","","","","","","","","","0","0","","","","","","","","","","1532","","","","","","790","734","","","","","0","","","0","","1137","","365","201","","","","","","","","1078","","","","0","","","","687","",""
"6","EmblemHealth VIP Dual (HMO D-SNP)","H3330-042","16540","21514","22133","43","","4027","0","","","","","","","0","","0","112","","","","","","13","","0","","4404","","","","","","1601","2626","0","0","0","","281","","","","20","4666","0","817","183","0","13","0","","","","","1596","52","","","85","0","0","","1594","",""
"7","Elderplan For Medicaid Beneficiaries (HMO D-SNP)","H3347-002","4210","4348","4348","","","1020","0","","","","","","","","","","","","","","","","","","","","1623","","","","","","71","527","","","","","0","","","","","1040","","0","","","","","","","","","","","","","","","","","67","",""
"8","Healthfirst Life Improvement Plan (HMO D-SNP)","H3359-021","137752","145292","145787","0","","38571","0","","","","","","","","0","0","0","0","","","","","","","","","35705","","","","0","","4349","29749","","","","","400","","","","0","31040","","2687","168","0","0","","","0","","","46","95","","","0","","","","2977","",""
"9","UnitedHealthcare Dual Complete Plan 1 (HMO D-SNP)","H3387-014","66298","76933","115697","902","253","9437","1415","373","376","1017","537","244","644","151","188","89","918","6232","164","0","0","413","138","0","171","1185","21314","154","432","335","8334","150","3926","12250","1434","1158","3168","765","1324","342","612","0","119","20622","467","2675","703","366","535","37","68","281","0","547","3268","493","187","0","557","260","206","689","2738","195","139"
"10","UnitedHealthcare Dual Complete Plan 2 (HMO D-SNP)","H3387-015","2977","3844","8128","78","32","244","205","51","49","150","65","28","113","13","31","14","59","759","30","","0","50","20","0","21","118","923","30","64","34","881","14","319","388","171","96","236","84","109","48","72","","13","1321","34","101","51","46","46","0","0","35","","67","325","44","29","","53","27","16","84","172","34","31"
"11","Humana Gold Plus SNP-DE H3533-034 (HMO D-SNP)","H3533-034","7356","10919","10919","","","610","","","","","","","","","","","","","","","","","","","","0","2152","","","","","","1331","1201","","","","","","","","","","2614","0","779","","0","","","","","","","2232","","","","","","","","","",""
"12","AgeWell New York FeelWell (HMO D-SNP)","H4922-003","33","77","77","","","11","","","","","","","","","","","","","","","","","","","","","0","","","","","","44","0","","","","","","","","","","22","","","","","","","","","","","0","","","","","","","","0","",""
"13","VNSNY CHOICE EasyCare Plus (HMO D-SNP)","H5549-011","1685","1774","1774","","","506","","","","","","","","","","","","","","","","","","","","","612","","","","","","34","262","","","","","","","","","","239","","66","","","","","","","","","21","","","","","","","","34","",""
"14","Wellcare Fidelis Dual Access (HMO D-SNP)","H5599-001","18352","26032","45562","852","104","2848","351","256","276","0","412","407","413","242","205","349","705","1935","167","318","389","0","224","19","494","0","5773","146","","0","0","429","1801","2742","936","1926","1491","0","430","83","777","232","187","5799","377","1190","1317","408","893","97","138","54","722","477","2667","176","183","0","539","315","295","","1895","63","38"
"15","HumanaChoice SNP-DE H5970-026 (PPO D-SNP)","H5970-026","955","955","955","","","937","","","","","","","","","","","","","","","","","","","","","0","","","","","","","18","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"16","EmblemHealth VIP Dual Reserve (HMO D-SNP)","H5991-010","877","877","877","","","309","","","","","","","","","","","","","","","","","","","","","212","","","","","","0","181","","","","","","","","","","175","","","","","","","","","","","","","","","","","","","0","",""
"17","Senior Whole Health Medicare Complete Care (HMO D-SNP)","H5992-008","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","0","","","","","","0","0","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","0","",""
"18","Centers Plan for Dual Coverage Care (HMO D-SNP)","H6988-002","788","809","809","","","235","","","","","","","","","","","","","","","","","","","","","291","","","","","","21","54","","","","","","","","","","170","","38","0","","","","","","","","","","","","","","","","","",""
"19","Empire MediBlue Dual Advantage (HMO D-SNP)","H8432-007","2687","3091","3128","","","300","","","","","","0","","","","","","","","","","","","","","","947","","","","","","272","389","","","","","37","","","","0","760","","291","","","","","","","","","","","","","","","","","132","",""
"20","Empire MediBlue Dual Advantage Select (HMO D-SNP)","H8432-028","3141","4041","4359","","","721","","","","","","","","","","","0","0","","","","","","","","","732","","","","0","","351","573","","0","","","179","","","","","900","","215","49","","","","","","","","0","48","","","91","","","","500","",""
