"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chautauqua","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","genesee","greene","hamilton","herkimer","jefferson","kings","lewis","livingston","madison","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","ontario","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","tompkins","ulster","warren","washington","wayne","westchester","wyoming","yates"
"1","Hamaspik Medicare Select (HMO D-SNP)","H0034-001","137","315","648","0","","22","","","","","","","","0","","","46","","","","0","","0","","","","69","","","","","0","0","17","","","","","159","","","","0","11","0","18","126","","0","","","","","","","69","","","59","","","","52","",""
"2","MetroPlus Advantage Plan (HMO D-SNP)","H0423-001","9331","9331","9331","0","","2212","","","","","","","","","","","","0","","","","","","","","","3190","","","","","","0","1643","","","","","0","","","","","2183","0","103","","","","","","","","","0","0","","","","","","","0","",""
"3","Empire MediBlue HealthPlus Dual Connect (HMO D-SNP)","H1732-003","11234","14068","14302","","","1606","","","0","","","","","","","","0","0","","","","","","","","","3117","","","","","","1125","1416","0","0","0","","234","","","","0","4431","","664","103","0","0","","","","","","1017","","","","","","","","589","",""
"4","VillageCareMAX Medicare Health Advantage (HMO D-SNP)","H2168-001","485","485","485","","","119","","","","","","","","","","","","","","","","","","","","","128","","","","","","0","79","","","","","0","","","","","159","","0","0","","","","","","","","","","","","","","","","","",""
"5","Aetna Medicare Assure Plan (HMO D-SNP)","H3312-069","4418","7240","7240","","","650","","","","","","","","","","0","0","","","","","","","","","","1552","","","","","","820","723","","","","","0","","","0","","1128","","365","196","","","","","","","","1105","","","","0","","","","701","",""
"6","EmblemHealth VIP Dual (HMO D-SNP)","H3330-042","16286","21223","21831","40","","3964","0","","","","","","","0","","0","108","","","","","","13","","0","","4325","","","","","","1589","2567","0","0","0","","280","","","","19","4619","0","811","180","0","13","","","","","","1585","52","","","83","0","0","","1583","",""
"7","Elderplan For Medicaid Beneficiaries (HMO D-SNP)","H3347-002","4187","4319","4319","","","995","0","","","","","","","","","","","","","","","","","","","","1642","","","","","","66","520","","","","","","","","","","1030","","0","","","","","","","","","","","","","","","","","66","",""
"8","Healthfirst Life Improvement Plan (HMO D-SNP)","H3359-021","138461","146136","146634","0","","38855","0","","","","","","","","","0","0","0","","","0","","","","","","35850","","","","0","","4437","29885","","","","","405","","","","0","31169","","2702","173","","0","","","0","","","49","93","0","","0","","","","3016","",""
"9","UnitedHealthcare Dual Complete Plan 1 (HMO D-SNP)","H3387-014","66820","77600","117007","918","256","9439","1438","377","397","1031","544","254","660","157","197","98","928","6315","166","0","0","424","144","0","177","1197","21454","163","447","340","8397","154","3940","12373","1454","1173","3212","773","1367","344","628","0","127","20840","476","2714","713","366","554","38","69","285","0","553","3367","508","194","0","577","264","219","706","2760","197","144"
"10","UnitedHealthcare Dual Complete Plan 2 (HMO D-SNP)","H3387-015","2972","3841","8125","76","32","240","205","52","49","147","63","29","110","13","28","15","57","759","26","","0","50","22","0","20","115","920","29","69","36","869","15","321","383","174","99","239","86","114","51","69","","13","1330","35","99","50","44","47","0","0","37","","68","323","43","31","","55","27","19","82","175","34","31"
"11","Humana Gold Plus SNP-DE H3533-034 (HMO D-SNP)","H3533-034","7339","10937","10937","","","591","","","","","","","","","","","","","","","","","","","","0","2137","","","","","","1337","1221","","","","","","","","","","2608","","782","","0","","","","","","","2261","0","","","","","","","","",""
"12","AgeWell New York FeelWell (HMO D-SNP)","H4922-003","20","65","65","","","0","","","","","","","","","","","","","","","","","","","","","0","","","","","","45","0","","","","","","","","","","20","","","","","","","","","","","0","","","","","","","","0","",""
"13","VNSNY CHOICE EasyCare Plus (HMO D-SNP)","H5549-011","1729","1819","1819","","","530","","","","","","","","","","","","","","","","","","","","","613","","","","","","36","269","","","","","0","","","","","246","","71","","","","","","","","","23","","","","","","","","31","",""
"14","Wellcare Fidelis Dual Access (HMO D-SNP)","H5599-001","18315","26089","45665","860","106","2836","346","263","278","0","413","406","423","239","207","357","702","1928","171","320","384","0","224","20","499","0","5784","144","0","0","0","429","1822","2725","940","1917","1497","0","430","84","784","242","181","5781","376","1189","1325","408","879","100","140","53","728","491","2706","171","184","0","536","316","294","0","1921","68","38"
"15","HumanaChoice SNP-DE H5970-026 (PPO D-SNP)","H5970-026","981","981","981","","","963","","","","","","","","","","","","","","","","","","","","","0","","","","","","","18","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"16","EmblemHealth VIP Dual Reserve (HMO D-SNP)","H5991-010","860","860","860","","","303","","","","","","","","","","","","","","","","","","","","","194","","","","","","","188","","","","","","","","","","175","","","","","","","","","","","","","","","","","","","0","",""
"17","Senior Whole Health Medicare Complete Care (HMO D-SNP)","H5992-008","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","0","","","","","","0","0","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","0","",""
"18","Centers Plan for Dual Coverage Care (HMO D-SNP)","H6988-002","767","789","789","","","231","","","","","","","","","","","","","","","","","","","","","285","","","","","","22","54","","","","","","","","","","162","","35","0","","","","","","","","","","","","","","","","","",""
"19","Empire MediBlue Dual Advantage (HMO D-SNP)","H8432-007","2652","3050","3087","","","299","","","","","","0","","","","","","","","","","","","","","","935","","","","","","269","388","","","","","37","","","","0","743","","287","","","","","","","","","","","","","","","","","129","",""
