"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chautauqua","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","genesee","greene","hamilton","herkimer","jefferson","kings","lewis","livingston","madison","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","ontario","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","tompkins","ulster","warren","washington","wayne","westchester","wyoming","yates"
"1","Hamaspik Medicare Select (HMO D-SNP)","H0034-001","104","198","475","0","","22","","","","","","","","0","","","29","","","","0","","0","","","","59","","","","","0","0","0","","","","","137","","","","0","0","0","23","94","","0","","","","","","","59","","","52","","","","0","",""
"2","MetroPlus Advantage Plan (HMO D-SNP)","H0423-001","8719","8719","8719","0","","2091","","","","","","","","","","","","","","","","","","","","","3000","","","","","","0","1543","","","0","","","","","","0","2005","","80","","","","","","","","","","","","","","","","","0","",""
"3","Empire MediBlue HealthPlus Dual Connect (HMO D-SNP)","H1732-003","8193","10081","10258","0","","1458","","","","","","","","","","0","0","0","","","","","","","0","","2259","","","","0","","722","1140","","","","","177","","","","0","2838","","498","74","","","","","","","","686","0","","","0","","","","406","",""
"4","VillageCareMAX Medicare Health Advantage (HMO D-SNP)","H2168-001","440","440","440","","","51","","","","","","","","","","","","","","","","","","","","","130","","","","","","","61","","","","","0","","","","","198","","0","","","","","","","","","","","","","","","","","","",""
"5","Aetna Medicare Assure Plan (HMO D-SNP)","H3312-069","3639","5703","5703","","","587","0","","","","","","","","","","","","","","","","","","","","1298","","","","","","570","601","","","","","","","","","0","886","","267","159","","","","","","","","787","","","","","","","","548","",""
"6","EmblemHealth VIP Dual (HMO D-SNP)","H3330-042","18862","24062","24792","49","","4818","0","","","","","","","0","","0","135","0","","0","","","20","","","","4899","","","","","0","1639","3041","","","0","","310","","","","22","5234","0","870","231","0","27","","","","","","1615","66","","","101","0","0","","1715","",""
"7","Elderplan For Medicaid Beneficiaries (HMO D-SNP)","H3347-002","4370","4502","4502","0","","1171","0","","","","","","","","","","","","","","","","","","","","1589","","","","","","67","549","","","","","0","","","","","1061","","","","","","","","","","","","0","","","","","","","65","",""
"8","Healthfirst Life Improvement Plan (HMO D-SNP)","H3359-021","128248","134462","134861","0","","36053","0","","","","","","","","","","0","0","","","","","","","","","33281","","","","0","","3633","28594","","","","","318","","","","0","27954","","2366","122","","0","","","","","","35","81","","","0","","","0","2424","",""
"9","UnitedHealthcare Dual Complete Plan 1 (HMO D-SNP)","H3387-014","62796","72127","105193","694","178","9080","1251","308","310","858","412","193","508","112","151","68","750","5572","137","0","0","365","120","0","131","1023","19823","118","389","262","7514","112","3760","11679","1218","875","2805","642","1143","274","456","0","74","19725","359","2489","622","278","421","22","55","220","","407","2575","426","148","0","476","208","170","583","2374","155","115"
"10","UnitedHealthcare Dual Complete Plan 2 (HMO D-SNP)","H3387-015","3872","4845","9255","91","39","321","223","53","47","159","66","40","118","12","27","14","57","784","26","0","0","50","18","0","20","125","1191","33","56","35","917","13","372","496","176","99","266","85","117","43","66","","0","1728","29","136","55","48","58","0","0","30","","66","355","48","18","","59","25","13","78","191","33","30"
"11","Humana Gold Plus SNP-DE H3533-034 (HMO D-SNP)","H3533-034","6807","9908","9908","","","691","0","","","","","0","","","","","","","","","","","","","","","1979","","","","","","1217","1130","","","","","","","","","","2333","","674","","","0","","","","","","1884","","","","","","","","0","",""
"12","AgeWell New York FeelWell (HMO D-SNP)","H4922-003","25","90","90","","","0","","","","","","","","","","","","","","","","","","","","","0","","","","","","65","0","","","","","","","","","","25","","","","","","","","","","","","","","","","","","","0","",""
"13","VNSNY CHOICE EasyCare Plus (HMO D-SNP)","H5549-011","850","880","880","","","248","","","","","","","","","","","","","","","","","","","","","313","","","","","","15","150","","","","","","","","","","106","","33","","","","","","","","","0","","","","","","","","15","",""
"14","Wellcare Fidelis Dual Access (HMO D-SNP)","H5599-001","18092","25042","43868","850","90","2770","324","226","272","","371","372","366","238","200","309","748","1920","149","252","377","","214","15","496","","5730","127","","0","0","432","1618","2743","882","1859","1477","","416","68","751","230","179","5726","395","1123","1157","375","895","92","126","55","678","439","2424","158","175","","557","299","271","0","1751","59","42"
"15","HumanaChoice SNP-DE H5970-026 (PPO D-SNP)","H5970-026","496","496","496","","","484","","","","","","","","","","","","0","","","","","","","","","","","","","","","","12","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","0","",""
"16","EmblemHealth VIP Dual Reserve (HMO D-SNP)","H5991-010","1036","1036","1036","","","344","","","","","","","","","","","","","","","","","","","","","245","","","","","","0","226","","","","","","","","","","221","","0","","","","","","","","","","","","","","","","","0","",""
"17","Senior Whole Health Medicare Complete Care (HMO D-SNP)","H5992-008","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","0","","","","","","0","0","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","0","",""
"18","Centers Plan for Dual Coverage Care (HMO D-SNP)","H6988-002","933","959","959","","","272","","","","","","","","","","","","","","","","","","","","","353","","","","","","26","73","","","","","","","","","","186","","49","0","","0","","","","","","","","","","","","","","","",""
"19","Empire MediBlue Dual Advantage (HMO D-SNP)","H8432-007","3181","3627","3674","","","368","","","","","","","","","","","","","","","","","","","","","1159","","","","","","285","455","","","","","47","","","","","868","","331","","","","","","","","","","","","","","","","","161","",""
"20","Empire MediBlue Dual Advantage Select (HMO D-SNP)","H8432-028","3902","4919","5318","","","940","","","","","","","","","","","0","","","","","","","","","","854","","","","","","395","710","","","","","236","","","","","1153","","245","56","","","0","","","","","0","50","","","113","","","","566","",""
