"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chautauqua","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","genesee","greene","hamilton","herkimer","jefferson","kings","lewis","livingston","madison","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","ontario","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","tompkins","ulster","warren","washington","wayne","westchester","wyoming","yates"
"1","Hamaspik Medicare Select (HMO D-SNP)","H0034-001","101","203","486","0","","21","","","","","","","","0","","","31","","","","0","","0","","","","59","","","","","0","0","0","","","","","137","","","","0","0","0","21","102","","0","","","","","","","59","","","56","","","","0","",""
"2","MetroPlus Advantage Plan (HMO D-SNP)","H0423-001","8726","8726","8726","0","","2107","","","","","","","","","","","0","","","","","","","","","","2975","","","","0","","0","1545","","","0","","","","","","0","2021","","78","","","0","","","","","","","","","","","","","","0","",""
"3","Empire MediBlue HealthPlus Dual Connect (HMO D-SNP)","H1732-003","8543","10541","10723","","","1481","","","","","","","","","","","0","0","","","","","","","0","","2378","","","","0","","764","1191","","","","","182","","","","0","2979","","514","79","","0","","","","","","735","","","","0","","","","420","",""
"4","VillageCareMAX Medicare Health Advantage (HMO D-SNP)","H2168-001","464","464","464","","","54","","","","","","","","","","","","","","","","","","","","","155","","","","","","","64","","","","","0","","","","","191","","0","","","","","","","","","","","","","","","","","","",""
"5","Aetna Medicare Assure Plan (HMO D-SNP)","H3312-069","3727","5904","5904","","","602","","","","","","","","","","","","","","","","","","","","","1307","","","","","","601","635","","","0","","","","","","0","908","","275","159","","","","","","","","840","","","","","","","","577","",""
"6","EmblemHealth VIP Dual (HMO D-SNP)","H3330-042","18440","23544","24248","46","","4686","0","","","","","","","0","","0","124","0","","","","","20","","","0","4825","","","","","0","1634","2975","","","0","","305","","","","20","5091","0","863","213","0","26","","","","","","1573","62","","","101","0","0","","1684","",""
"7","Elderplan For Medicaid Beneficiaries (HMO D-SNP)","H3347-002","4382","4517","4517","","","1155","0","","","","","","","","","","","","","","","","","","","","1592","","","","","","67","560","","","","","0","","","","","1075","","0","","","","","","","","","0","0","","","","","","","68","",""
"8","Healthfirst Life Improvement Plan (HMO D-SNP)","H3359-021","129303","135672","136080","0","","36314","0","","","","","","","","","","0","0","","","","","","","","","33468","","","","0","","3728","28719","","","","","325","","","","0","28394","","2408","121","0","0","","","","","","42","83","","","0","","","0","2478","",""
"9","UnitedHealthcare Dual Complete Plan 1 (HMO D-SNP)","H3387-014","63177","72661","106358","716","191","9090","1284","310","319","883","426","202","526","112","151","72","784","5635","136","0","0","367","120","0","138","1032","19940","121","401","274","7585","111","3771","11747","1236","897","2855","648","1166","280","474","0","90","19868","365","2532","626","290","439","26","56","228","","415","2654","439","156","0","478","218","171","596","2433","162","116"
"10","UnitedHealthcare Dual Complete Plan 2 (HMO D-SNP)","H3387-015","3509","4438","8797","89","36","295","217","51","47","159","67","36","117","12","27","14","58","769","27","0","0","48","17","0","21","125","1090","34","52","34","894","12","349","438","174","102","265","85","116","44","68","","11","1565","31","121","52","45","57","0","0","29","","64","339","46","19","","62","25","12","80","189","32","29"
"11","Humana Gold Plus SNP-DE H3533-034 (HMO D-SNP)","H3533-034","6916","10088","10088","","","651","0","","","","","","","","","","","","","","","","","","","","2057","","","","","","1238","1159","","0","","","","","","0","","2357","","692","0","","0","","","","","","1934","","","","","","","0","0","",""
"12","AgeWell New York FeelWell (HMO D-SNP)","H4922-003","27","94","94","","","0","","","","","","","","","","","","","","","","","","","","","0","","","","","","67","0","","","","","","","","","","27","","","","","","","","","","","","","","","","","","","0","",""
"13","VNSNY CHOICE EasyCare Plus (HMO D-SNP)","H5549-011","952","997","997","","","281","","","","","","","","","","","","","","","","","","","","","339","","","","","","17","174","","","","","","","","","","127","","31","","","","","","","","","12","","","","","","","","16","",""
"14","Wellcare Fidelis Dual Access (HMO D-SNP)","H5599-001","18113","25126","43934","851","91","2782","326","230","272","","372","368","364","233","201","308","735","1909","152","259","375","","218","15","492","0","5734","132","","0","0","428","1639","2751","883","1864","1470","","422","69","758","233","167","5711","381","1135","1170","379","894","91","129","54","686","446","2457","159","174","","541","302","275","0","1747","58","42"
"15","HumanaChoice SNP-DE H5970-026 (PPO D-SNP)","H5970-026","577","577","577","","","560","","","","","","","","","","","","","","","","","","","","","0","","","","","","","17","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","0","",""
"16","EmblemHealth VIP Dual Reserve (HMO D-SNP)","H5991-010","995","995","995","","","333","","","","","","","","","","","","","","","","","","","","","235","","","","","","0","214","","","","","","","","","","213","","","","","","","","","","","","","","","","","","","0","",""
"17","Senior Whole Health Medicare Complete Care (HMO D-SNP)","H5992-008","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","0","","","","","","0","0","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","0","",""
"18","Centers Plan for Dual Coverage Care (HMO D-SNP)","H6988-002","902","927","927","","","264","","","","","","","","","","","","","","","","","","","","","343","","","","","","25","70","","","","","","","","","","176","","49","0","","","","","","","","","","","","","","","","","",""
"19","Empire MediBlue Dual Advantage (HMO D-SNP)","H8432-007","3101","3546","3594","","","361","","","","","","","","","","","","","","","","","","","","","1119","","","","","","292","442","","","","","48","","","","","851","","328","","","","","","","","","","","","","","","","","153","",""
"20","Empire MediBlue Dual Advantage Select (HMO D-SNP)","H8432-028","3741","4729","5111","","","887","","","","","","","","","","","0","","","","","","","","","","843","","","","","","383","676","","","","","224","","","","","1099","","236","59","","","0","","","","","0","50","","","108","","","","546","",""
