"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chautauqua","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","genesee","greene","hamilton","herkimer","jefferson","kings","lewis","livingston","madison","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","ontario","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","tompkins","ulster","warren","washington","wayne","westchester","wyoming","yates"
"1","Hamaspik Medicare Select (HMO D-SNP)","H0034-001","149","330","708","0","","29","","","","","","","","0","","","45","","","","0","","0","","","","70","","","","","37","0","20","","0","","","165","","","","0","11","0","19","128","","0","","","","","","","69","","","62","","","","53","",""
"2","MetroPlus Advantage Plan (HMO D-SNP)","H0423-001","9438","9438","9438","0","","2230","","","","","","","","","","","","","","","","","","","","","3234","","","","","","0","1655","","","","","0","","","","","2214","0","105","","","","","","","","","0","0","","","","","","","0","",""
"3","Empire MediBlue HealthPlus Dual Connect (HMO D-SNP)","H1732-003","11433","14321","14558","0","","1611","","","0","","","","","","","","0","0","","","","","","","","","3151","","","","","","1140","1428","","0","","","237","","","","0","4563","","680","104","0","0","","","","","","1039","","","","","","","","605","",""
"4","VillageCareMAX Medicare Health Advantage (HMO D-SNP)","H2168-001","467","467","467","","","120","","","","","","","","","","","","","","","","","","","","","121","","","","","","","76","","","","","0","","","","","150","","0","0","","","","","","","","","","","","","","","","","",""
"5","Aetna Medicare Assure Plan (HMO D-SNP)","H3312-069","4454","7300","7300","","","654","","","","","","","","","","0","0","","","","","","","","","","1567","","","","","","827","705","","","","","0","","","0","","1148","","380","199","","","","","","","","1115","","","","0","","","","705","",""
"6","EmblemHealth VIP Dual (HMO D-SNP)","H3330-042","16171","21093","21691","40","","3909","0","","","","","","","0","","0","104","","","","","","13","","0","","4303","","","","","","1592","2541","0","0","0","","278","","","","20","4609","0","809","178","0","12","","","","","","1583","50","","","81","0","0","","1569","",""
"7","Elderplan For Medicaid Beneficiaries (HMO D-SNP)","H3347-002","4251","4379","4379","","","1014","0","","","","","","","","","","","","","","","","","","","","1669","","","","","","66","517","","","","","","","","","","1051","","0","","","","","","","","","","","","","","","","","62","",""
"8","Healthfirst Life Improvement Plan (HMO D-SNP)","H3359-021","139617","147436","147937","0","","39210","0","0","","","","","","","0","0","0","0","","","0","","","","","","36077","","","","0","","4501","30118","","","0","","411","","","0","0","31469","","2743","176","","0","","","0","","","45","90","","","0","","","","3097","",""
"9","UnitedHealthcare Dual Complete Plan 1 (HMO D-SNP)","H3387-014","67126","78015","117775","924","257","9428","1441","383","400","1037","552","253","668","159","197","97","953","6374","169","0","0","421","144","0","179","1213","21683","168","453","345","8442","153","3941","12303","1462","1186","3240","780","1384","351","634","0","128","21009","486","2703","722","371","569","40","68","287","0","560","3444","512","195","","585","266","219","711","2782","200","144"
"10","UnitedHealthcare Dual Complete Plan 2 (HMO D-SNP)","H3387-015","2962","3827","8122","77","32","244","203","54","49","144","64","30","106","13","28","15","58","759","26","","0","52","21","0","19","115","907","29","71","36","875","15","318","381","178","99","239","86","114","51","68","","14","1326","34","104","48","43","49","0","0","36","","67","321","44","32","","55","28","19","82","178","34","32"
"11","Humana Gold Plus SNP-DE H3533-034 (HMO D-SNP)","H3533-034","7225","10827","10827","","","584","","","","","","","","","","","","","","","","","","","","0","2112","","","","","","1334","1194","","","","","","","","","","2567","","768","","","","","","","","","2268","","","","","","","","","",""
"12","AgeWell New York FeelWell (HMO D-SNP)","H4922-003","18","63","63","","","0","","","","","","","","","","","","","","","","","","","","","0","","","","","","45","0","","","","","","","","","","18","","","","","","","","","","","0","","","","","","","","0","",""
"13","VNSNY CHOICE EasyCare Plus (HMO D-SNP)","H5549-011","1710","1798","1798","","","525","","","","","","","","","","","","","","","","","","","","","598","","","","","","35","261","","","","","0","","","","","251","","75","","","","","","","","","23","","","","","","","","30","",""
